Zip,Cases,Deaths,Recovered,ReportDate
74012,865,14,676,2020-08-06
73942,857,7,841,2020-08-06
73119,732,9,591,2020-08-06
74136,678,15,603,2020-08-06
74133,651,5,563,2020-08-06
73099,629,4,520,2020-08-06
73160,615,11,529,2020-08-06
74037,594,0,558,2020-08-06
73107,551,4,464,2020-08-06
73072,551,14,486,2020-08-06
73109,533,3,412,2020-08-06
73159,527,4,441,2020-08-06
73013,495,14,416,2020-08-06
Other***,485,9,372,2020-08-06
74014,474,6,387,2020-08-06
73129,458,2,365,2020-08-06
73071,456,7,398,2020-08-06
73521,454,5,382,2020-08-06
74115,438,2,363,2020-08-06
73112,418,8,361,2020-08-06
74146,414,2,350,2020-08-06
74137,411,5,370,2020-08-06
74055,407,2,358,2020-08-06
73127,396,2,343,2020-08-06
73120,396,12,323,2020-08-06
73170,382,11,325,2020-08-06
73108,378,0,293,2020-08-06
74728,377,21,332,2020-08-06
73012,373,0,343,2020-08-06
74017,366,10,248,2020-08-06
73034,361,1,302,2020-08-06
74008,353,2,302,2020-08-06
74006,351,29,303,2020-08-06
74134,347,1,285,2020-08-06
74110,343,5,304,2020-08-06
74105,334,4,289,2020-08-06
74011,333,4,272,2020-08-06
74129,332,2,293,2020-08-06
73069,322,7,272,2020-08-06
74074,310,2,282,2020-08-06
74128,306,3,243,2020-08-06
73139,291,5,236,2020-08-06
73132,291,4,248,2020-08-06
73162,288,6,231,2020-08-06
74745,279,5,239,2020-08-06
74112,277,5,227,2020-08-06
74464,275,2,176,2020-08-06
74145,270,1,236,2020-08-06
74135,265,8,228,2020-08-06
74066,261,4,220,2020-08-06
73401,257,2,217,2020-08-06
74033,256,1,224,2020-08-06
74701,253,0,208,2020-08-06
73505,246,5,212,2020-08-06
73110,243,1,199,2020-08-06
73008,237,1,206,2020-08-06
73135,224,3,184,2020-08-06
73018,222,4,203,2020-08-06
73501,222,2,212,2020-08-06
74403,221,10,151,2020-08-06
74063,219,3,174,2020-08-06
74075,215,1,195,2020-08-06
74107,215,5,173,2020-08-06
74960,213,5,140,2020-08-06
73114,213,1,177,2020-08-06
73122,209,2,169,2020-08-06
74106,207,4,171,2020-08-06
74429,197,13,157,2020-08-06
74354,193,3,176,2020-08-06
73701,192,4,146,2020-08-06
74070,189,7,165,2020-08-06
74019,187,3,152,2020-08-06
73064,184,1,167,2020-08-06
74132,180,1,159,2020-08-06
73703,178,1,146,2020-08-06
74021,177,1,153,2020-08-06
73106,176,2,156,2020-08-06
73115,175,2,139,2020-08-06
73036,174,1,141,2020-08-06
73142,171,5,144,2020-08-06
73051,169,1,150,2020-08-06
74344,169,15,146,2020-08-06
74447,167,2,140,2020-08-06
73080,166,3,140,2020-08-06
74501,165,3,106,2020-08-06
74801,165,1,126,2020-08-06
73003,164,2,139,2020-08-06
74114,164,4,130,2020-08-06
73130,162,2,143,2020-08-06
74104,161,1,133,2020-08-06
74127,156,1,134,2020-08-06
73020,154,2,125,2020-08-06
73005,147,3,101,2020-08-06
73118,144,2,129,2020-08-06
74820,142,0,115,2020-08-06
74743,141,1,130,2020-08-06
74437,139,1,104,2020-08-06
73010,133,1,118,2020-08-06
74108,126,0,102,2020-08-06
74003,126,8,103,2020-08-06
74955,126,1,81,2020-08-06
74467,124,5,94,2020-08-06
73169,124,1,102,2020-08-06
73503,123,1,121,2020-08-06
73533,120,0,91,2020-08-06
73601,119,0,94,2020-08-06
73111,118,2,91,2020-08-06
74804,117,6,87,2020-08-06
73116,116,0,106,2020-08-06
74401,114,2,75,2020-08-06
74601,111,4,94,2020-08-06
73044,110,0,94,2020-08-06
73025,108,0,95,2020-08-06
74116,108,0,90,2020-08-06
73065,107,1,93,2020-08-06
73068,107,1,85,2020-08-06
73047,106,0,96,2020-08-06
73507,106,2,91,2020-08-06
73945,106,0,104,2020-08-06
74884,105,1,64,2020-08-06
74126,102,0,77,2020-08-06
73089,101,2,86,2020-08-06
73075,99,1,89,2020-08-06
73179,97,1,85,2020-08-06
74361,96,1,79,2020-08-06
73102,86,0,55,2020-08-06
74848,83,1,58,2020-08-06
74948,83,1,56,2020-08-06
74604,83,4,67,2020-08-06
74346,82,1,79,2020-08-06
74426,82,1,67,2020-08-06
73128,80,0,69,2020-08-06
73554,79,8,66,2020-08-06
73134,78,1,68,2020-08-06
73078,76,1,69,2020-08-06
73149,76,0,65,2020-08-06
74868,75,3,54,2020-08-06
73026,75,3,62,2020-08-06
74432,75,0,53,2020-08-06
74023,74,1,58,2020-08-06
74015,74,0,54,2020-08-06
74331,73,0,64,2020-08-06
73446,73,1,55,2020-08-06
74010,70,2,45,2020-08-06
73096,69,0,62,2020-08-06
74120,67,0,61,2020-08-06
74937,66,0,27,2020-08-06
74020,65,3,52,2020-08-06
74953,64,0,41,2020-08-06
74965,63,1,54,2020-08-06
74352,63,0,52,2020-08-06
74434,63,3,49,2020-08-06
74073,61,1,48,2020-08-06
73103,61,0,51,2020-08-06
73084,61,1,52,2020-08-06
73052,60,2,48,2020-08-06
74029,60,1,48,2020-08-06
74857,57,1,50,2020-08-06
74766,57,0,42,2020-08-06
73165,56,1,49,2020-08-06
74571,56,1,38,2020-08-06
73750,55,0,46,2020-08-06
74301,55,0,45,2020-08-06
74036,54,2,38,2020-08-06
74365,54,1,37,2020-08-06
74851,53,1,39,2020-08-06
73045,52,0,39,2020-08-06
74525,52,0,48,2020-08-06
74119,52,0,42,2020-08-06
73105,52,0,50,2020-08-06
74103,51,0,42,2020-08-06
73117,50,0,44,2020-08-06
73448,49,0,47,2020-08-06
74039,48,2,37,2020-08-06
73104,47,0,41,2020-08-06
74044,47,1,29,2020-08-06
74047,47,1,41,2020-08-06
73049,46,1,34,2020-08-06
73542,46,1,41,2020-08-06
73009,46,8,38,2020-08-06
74337,46,3,37,2020-08-06
74339,46,0,43,2020-08-06
74058,46,0,42,2020-08-06
74873,44,0,30,2020-08-06
74035,44,2,38,2020-08-06
74730,43,0,38,2020-08-06
74445,43,0,28,2020-08-06
73086,43,0,36,2020-08-06
74338,42,1,37,2020-08-06
74523,42,0,26,2020-08-06
74053,42,0,34,2020-08-06
73949,42,0,31,2020-08-06
74130,42,1,35,2020-08-06
74016,42,0,32,2020-08-06
74578,41,1,25,2020-08-06
74740,41,1,35,2020-08-06
73644,41,1,26,2020-08-06
74962,40,1,26,2020-08-06
74421,40,0,31,2020-08-06
74764,40,0,40,2020-08-06
74441,38,0,21,2020-08-06
74436,38,0,33,2020-08-06
74864,37,0,24,2020-08-06
73173,37,0,37,2020-08-06
74370,36,0,16,2020-08-06
73141,35,0,33,2020-08-06
74059,35,0,33,2020-08-06
74959,35,0,22,2020-08-06
73093,35,0,32,2020-08-06
74451,34,0,21,2020-08-06
74462,33,0,21,2020-08-06
74834,33,1,25,2020-08-06
73077,33,0,29,2020-08-06
74079,33,0,22,2020-08-06
73055,32,0,29,2020-08-06
73801,32,0,28,2020-08-06
74041,31,0,25,2020-08-06
73529,31,1,29,2020-08-06
74048,30,1,29,2020-08-06
74056,29,0,24,2020-08-06
74883,28,0,18,2020-08-06
74651,28,1,23,2020-08-06
74131,28,0,24,2020-08-06
73439,28,0,22,2020-08-06
73742,27,0,22,2020-08-06
73095,27,0,23,2020-08-06
73121,27,0,24,2020-08-06
73030,27,0,20,2020-08-06
73762,26,0,24,2020-08-06
74051,26,1,22,2020-08-06
73538,26,0,25,2020-08-06
73527,25,0,22,2020-08-06
73150,25,1,19,2020-08-06
74637,25,0,19,2020-08-06
74343,25,0,17,2020-08-06
73550,25,0,12,2020-08-06
74859,25,0,19,2020-08-06
74931,25,0,19,2020-08-06
73449,25,1,14,2020-08-06
74930,24,0,12,2020-08-06
74342,24,0,20,2020-08-06
74435,24,1,17,2020-08-06
74538,23,0,17,2020-08-06
74954,23,0,12,2020-08-06
74729,23,0,16,2020-08-06
74733,23,0,21,2020-08-06
74347,22,0,12,2020-08-06
74536,22,0,17,2020-08-06
74547,22,0,17,2020-08-06
73463,21,0,13,2020-08-06
74022,21,0,15,2020-08-06
74964,21,0,17,2020-08-06
74002,20,2,17,2020-08-06
74855,20,0,15,2020-08-06
73006,20,0,15,2020-08-06
73131,20,0,17,2020-08-06
73054,20,0,20,2020-08-06
74455,19,1,12,2020-08-06
73057,19,0,16,2020-08-06
73145,19,0,18,2020-08-06
73443,19,1,17,2020-08-06
73433,18,0,17,2020-08-06
74966,18,0,17,2020-08-06
74854,18,0,12,2020-08-06
73950,18,0,18,2020-08-06
74902,18,0,14,2020-08-06
73038,17,0,16,2020-08-06
74454,17,0,15,2020-08-06
73007,17,0,16,2020-08-06
74849,17,1,12,2020-08-06
73951,17,0,15,2020-08-06
74364,16,0,13,2020-08-06
73098,16,1,12,2020-08-06
74932,16,0,6,2020-08-06
73460,16,0,10,2020-08-06
73151,16,0,14,2020-08-06
73772,16,0,12,2020-08-06
74631,16,1,13,2020-08-06
74860,16,0,7,2020-08-06
73526,16,0,14,2020-08-06
74032,16,0,15,2020-08-06
73717,16,0,12,2020-08-06
74332,15,1,10,2020-08-06
73560,15,0,14,2020-08-06
73016,15,0,14,2020-08-06
74736,15,0,14,2020-08-06
74431,15,0,10,2020-08-06
74470,15,0,4,2020-08-06
73572,14,0,12,2020-08-06
74880,14,0,10,2020-08-06
74363,14,0,9,2020-08-06
73543,14,0,7,2020-08-06
73939,13,0,13,2020-08-06
74840,13,0,9,2020-08-06
74735,13,0,12,2020-08-06
73059,13,0,9,2020-08-06
74726,12,0,9,2020-08-06
73573,12,0,8,2020-08-06
74871,12,1,10,2020-08-06
73737,12,0,11,2020-08-06
73040,12,0,12,2020-08-06
73029,12,1,9,2020-08-06
74085,12,0,11,2020-08-06
73017,12,0,8,2020-08-06
74061,12,0,12,2020-08-06
74825,12,1,6,2020-08-06
73002,11,0,10,2020-08-06
73453,11,0,9,2020-08-06
74574,11,0,7,2020-08-06
74080,11,0,10,2020-08-06
74881,11,0,7,2020-08-06
73662,11,0,9,2020-08-06
74565,11,0,4,2020-08-06
73456,11,0,10,2020-08-06
73015,11,1,5,2020-08-06
74330,11,0,9,2020-08-06
74369,10,0,9,2020-08-06
73082,10,0,9,2020-08-06
73570,10,0,9,2020-08-06
73042,10,0,7,2020-08-06
74469,10,0,9,2020-08-06
74038,10,0,10,2020-08-06
74727,10,0,9,2020-08-06
74358,10,0,9,2020-08-06
74450,10,0,7,2020-08-06
73028,10,0,9,2020-08-06
74941,10,0,3,2020-08-06
73932,9,0,8,2020-08-06
74723,9,0,9,2020-08-06
74731,9,0,8,2020-08-06
74028,9,1,7,2020-08-06
73061,9,0,9,2020-08-06
74072,9,0,8,2020-08-06
74865,9,0,8,2020-08-06
73541,9,0,9,2020-08-06
74647,9,1,5,2020-08-06
74027,9,0,8,2020-08-06
74554,9,0,3,2020-08-06
73651,9,0,9,2020-08-06
74940,9,0,5,2020-08-06
73773,9,0,7,2020-08-06
74653,9,0,8,2020-08-06
73624,9,0,8,2020-08-06
74878,9,0,6,2020-08-06
74641,9,1,4,2020-08-06
73565,9,0,8,2020-08-06
74030,9,0,7,2020-08-06
73447,9,0,8,2020-08-06
74956,8,0,6,2020-08-06
74463,8,0,6,2020-08-06
73438,8,0,4,2020-08-06
73432,8,0,6,2020-08-06
74425,8,0,5,2020-08-06
74826,8,0,5,2020-08-06
74936,8,0,4,2020-08-06
73566,7,0,7,2020-08-06
73004,7,0,7,2020-08-06
74054,7,0,7,2020-08-06
74050,7,0,6,2020-08-06
73628,7,0,6,2020-08-06
