City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,21842,209,18425,2020-11-10
TULSA,16186,157,14309,2020-11-10
NORMAN,5049,63,4276,2020-11-10
EDMOND,5012,30,4109,2020-11-10
BROKEN ARROW,4820,48,4133,2020-11-10
OTHER***,3112,21,2624,2020-11-10
ENID,2590,32,2250,2020-11-10
STILLWATER,2581,8,2301,2020-11-10
YUKON,2410,9,1987,2020-11-10
LAWTON,2042,18,1652,2020-11-10
MOORE,1785,18,1475,2020-11-10
CLAREMORE,1733,49,1397,2020-11-10
GUYMON,1566,10,1436,2020-11-10
SHAWNEE,1541,16,1335,2020-11-10
OWASSO,1460,5,1230,2020-11-10
MUSKOGEE,1393,21,1044,2020-11-10
BARTLESVILLE,1254,38,1083,2020-11-10
DURANT,1208,9,969,2020-11-10
TAHLEQUAH,1194,4,989,2020-11-10
ALTUS,1155,18,975,2020-11-10
MCALESTER,1079,19,944,2020-11-10
BIXBY,1068,5,910,2020-11-10
JENKS,1068,9,956,2020-11-10
EL RENO,1030,8,861,2020-11-10
ADA,974,4,708,2020-11-10
FORT SUPPLY,895,2,888,2020-11-10
CHICKASHA,882,11,794,2020-11-10
ARDMORE,878,10,709,2020-11-10
SAPULPA,864,16,718,2020-11-10
MIAMI,840,13,748,2020-11-10
PONCA CITY,798,13,663,2020-11-10
SAND SPRINGS,797,7,665,2020-11-10
TAFT,784,2,737,2020-11-10
MUSTANG,779,4,671,2020-11-10
BROKEN BOW,710,25,610,2020-11-10
CHOCTAW,674,5,558,2020-11-10
BLANCHARD,668,3,543,2020-11-10
BETHANY,660,6,543,2020-11-10
CLINTON,658,1,544,2020-11-10
DUNCAN,651,4,515,2020-11-10
STILWELL,646,11,472,2020-11-10
LEXINGTON,619,6,527,2020-11-10
IDABEL,605,9,495,2020-11-10
SALLISAW,589,4,491,2020-11-10
VINITA,586,2,525,2020-11-10
COLLINSVILLE,565,3,462,2020-11-10
GLENPOOL,561,6,504,2020-11-10
GUTHRIE,560,0,492,2020-11-10
ELK CITY,560,7,478,2020-11-10
GROVE,554,19,463,2020-11-10
OKMULGEE,551,7,466,2020-11-10
WEATHERFORD,547,5,462,2020-11-10
POTEAU,537,6,474,2020-11-10
SEMINOLE,523,4,431,2020-11-10
HOMINY,518,2,500,2020-11-10
SKIATOOK,502,8,436,2020-11-10
ANADARKO,492,9,417,2020-11-10
COWETA,492,15,418,2020-11-10
PURCELL,486,7,377,2020-11-10
MCLOUD,460,1,416,2020-11-10
NEWCASTLE,453,4,374,2020-11-10
HENRYETTA,441,7,356,2020-11-10
ATOKA,437,0,375,2020-11-10
WOODWARD,426,3,307,2020-11-10
SAYRE,425,8,383,2020-11-10
TUTTLE,420,5,337,2020-11-10
PRYOR CREEK,378,9,312,2020-11-10
WAGONER,369,6,312,2020-11-10
HUGO,367,2,305,2020-11-10
TECUMSEH,363,1,313,2020-11-10
PAULS VALLEY,360,2,276,2020-11-10
JAY,358,2,298,2020-11-10
NOBLE,353,5,293,2020-11-10
CUSHING,342,3,291,2020-11-10
MULDROW,338,3,286,2020-11-10
PIEDMONT,337,3,282,2020-11-10
BOLEY,336,4,268,2020-11-10
HARRAH,318,4,257,2020-11-10
HOLDENVILLE,312,4,273,2020-11-10
STIGLER,310,4,227,2020-11-10
HEAVENER,297,7,266,2020-11-10
CHECOTAH,287,5,250,2020-11-10
KINGFISHER,285,1,246,2020-11-10
SPIRO,283,1,250,2020-11-10
BRISTOW,276,9,225,2020-11-10
WEWOKA,269,1,223,2020-11-10
EUFAULA,267,7,216,2020-11-10
MIDWEST CITY,264,8,206,2020-11-10
SULPHUR,264,3,206,2020-11-10
FORT GIBSON,261,4,194,2020-11-10
MADILL,259,1,187,2020-11-10
CALERA,240,1,195,2020-11-10
HINTON,239,0,211,2020-11-10
LOCUST GROVE,237,0,197,2020-11-10
WARR ACRES,236,1,203,2020-11-10
VIAN,227,3,181,2020-11-10
MARIETTA,220,0,185,2020-11-10
CATOOSA,220,2,178,2020-11-10
ALVA,219,1,164,2020-11-10
HENNESSEY,212,2,191,2020-11-10
CHELSEA,208,3,175,2020-11-10
CHANDLER,207,10,169,2020-11-10
LINDSAY,206,2,152,2020-11-10
OKEMAH,201,3,139,2020-11-10
AFTON,200,2,164,2020-11-10
SPENCER,199,2,164,2020-11-10
PRAGUE,196,0,154,2020-11-10
ANTLERS,194,6,162,2020-11-10
SALINA,190,1,153,2020-11-10
NOWATA,187,3,163,2020-11-10
DEL CITY,184,0,148,2020-11-10
TISHOMINGO,183,3,153,2020-11-10
MOUNDS,182,3,147,2020-11-10
MEEKER,179,11,146,2020-11-10
CLEVELAND,177,3,156,2020-11-10
SPERRY,175,2,151,2020-11-10
MARLOW,174,1,114,2020-11-10
ROLAND,171,1,146,2020-11-10
MANNFORD,170,4,140,2020-11-10
FAIRVIEW,169,0,113,2020-11-10
WESTVILLE,166,2,127,2020-11-10
INOLA,163,3,144,2020-11-10
PAWHUSKA,163,2,119,2020-11-10
DEWEY,159,1,139,2020-11-10
PERKINS,156,2,125,2020-11-10
HOOKER,154,0,136,2020-11-10
JONES,154,2,129,2020-11-10
NICHOLS HILLS,153,0,133,2020-11-10
MORRIS,152,0,124,2020-11-10
