Zip,Cases,Deaths,Recovered,ReportDate
74012,2186,26,1930,2020-11-01
73099,2045,8,1724,2020-11-01
Other***,1735,22,1510,2020-11-01
73072,1614,18,1431,2020-11-01
73160,1574,16,1333,2020-11-01
74133,1567,14,1415,2020-11-01
73119,1557,24,1392,2020-11-01
73942,1459,10,1366,2020-11-01
73071,1401,25,1219,2020-11-01
73013,1350,18,1115,2020-11-01
74074,1313,5,1236,2020-11-01
73170,1280,18,1076,2020-11-01
74055,1263,4,1098,2020-11-01
74136,1250,21,1132,2020-11-01
74014,1222,9,1072,2020-11-01
73034,1216,3,1035,2020-11-01
73701,1195,18,1032,2020-11-01
73069,1145,10,1037,2020-11-01
73703,1111,10,963,2020-11-01
73159,1084,6,981,2020-11-01
73109,1075,9,961,2020-11-01
74464,1040,4,897,2020-11-01
73521,1033,14,916,2020-11-01
73107,1003,7,887,2020-11-01
74037,1001,8,932,2020-11-01
73120,986,22,818,2020-11-01
74137,984,8,878,2020-11-01
74017,983,43,802,2020-11-01
74701,978,8,816,2020-11-01
74008,967,5,838,2020-11-01
73012,944,0,799,2020-11-01
74501,939,16,847,2020-11-01
73036,933,8,705,2020-11-01
74011,919,9,765,2020-11-01
73841,905,2,898,2020-11-01
73129,861,11,756,2020-11-01
73505,860,8,689,2020-11-01
74115,859,8,784,2020-11-01
74006,854,30,740,2020-11-01
74134,848,4,737,2020-11-01
73112,824,14,711,2020-11-01
73127,805,4,719,2020-11-01
74105,804,8,722,2020-11-01
74146,790,3,728,2020-11-01
73018,788,10,709,2020-11-01
74354,773,12,681,2020-11-01
74463,770,2,739,2020-11-01
73110,753,10,600,2020-11-01
73162,739,13,653,2020-11-01
74403,736,13,608,2020-11-01
73401,735,8,592,2020-11-01
74066,731,12,633,2020-11-01
73132,729,6,625,2020-11-01
74804,721,7,532,2020-11-01
74075,713,3,660,2020-11-01
74820,711,2,546,2020-11-01
73108,704,0,643,2020-11-01
74063,695,7,612,2020-11-01
73064,688,4,587,2020-11-01
74801,663,5,552,2020-11-01
74129,661,5,604,2020-11-01
74728,660,24,572,2020-11-01
74110,630,13,567,2020-11-01
73139,625,8,529,2020-11-01
74145,617,3,553,2020-11-01
74135,598,13,527,2020-11-01
73020,592,5,507,2020-11-01
