Zip,Cases,Deaths,Recovered,ReportDate
73099,4834,16,4222,2020-12-17
74012,4079,45,3546,2020-12-17
73160,3551,20,3008,2020-12-17
Other***,3107,30,2689,2020-12-17
73072,3059,22,2744,2020-12-17
73013,3043,28,2612,2020-12-17
73170,2873,30,2449,2020-12-17
74133,2836,26,2446,2020-12-17
74055,2720,9,2338,2020-12-17
73119,2628,30,2301,2020-12-17
73034,2586,11,2228,2020-12-17
74014,2563,15,2165,2020-12-17
73071,2523,37,2172,2020-12-17
73159,2269,8,1994,2020-12-17
73703,2208,13,1981,2020-12-17
73505,2177,19,1893,2020-12-17
74464,2164,8,1686,2020-12-17
74074,2144,9,1936,2020-12-17
73012,2090,6,1784,2020-12-17
73120,2083,29,1791,2020-12-17
73942,2070,15,1916,2020-12-17
74820,2069,11,1760,2020-12-17
73701,2006,25,1796,2020-12-17
74017,1972,54,1623,2020-12-17
74701,1950,14,1683,2020-12-17
74136,1906,28,1694,2020-12-17
74011,1869,12,1590,2020-12-17
73069,1858,11,1679,2020-12-17
73521,1827,33,1669,2020-12-17
74008,1811,11,1575,2020-12-17
74403,1803,21,1399,2020-12-17
73109,1787,10,1595,2020-12-17
74137,1743,12,1536,2020-12-17
73107,1730,8,1504,2020-12-17
73401,1699,11,1441,2020-12-17
73112,1689,17,1464,2020-12-17
74063,1650,16,1450,2020-12-17
73162,1646,19,1442,2020-12-17
73036,1643,10,1496,2020-12-17
73110,1629,16,1348,2020-12-17
74037,1629,13,1462,2020-12-17
74501,1618,18,1392,2020-12-17
74006,1598,36,1389,2020-12-17
74134,1567,7,1368,2020-12-17
74463,1559,2,1508,2020-12-17
73129,1542,14,1304,2020-12-17
73064,1540,14,1355,2020-12-17
74066,1537,22,1348,2020-12-17
73132,1530,15,1305,2020-12-17
73127,1490,9,1279,2020-12-17
74804,1486,13,1297,2020-12-17
73018,1446,18,1309,2020-12-17
73533,1446,11,1226,2020-12-17
74105,1393,13,1215,2020-12-17
74801,1332,7,1135,2020-12-17
74115,1328,12,1179,2020-12-17
74075,1325,3,1170,2020-12-17
74019,1304,7,1120,2020-12-17
73044,1298,2,1065,2020-12-17
74146,1252,5,1124,2020-12-17
73108,1250,0,1110,2020-12-17
73010,1247,7,1092,2020-12-17
74354,1247,17,1085,2020-12-17
73020,1243,9,1068,2020-12-17
73008,1243,11,1055,2020-12-17
73139,1232,8,1057,2020-12-17
73601,1209,12,1070,2020-12-17
74021,1194,5,999,2020-12-17
73135,1173,11,992,2020-12-17
74601,1169,7,955,2020-12-17
73003,1156,8,964,2020-12-17
73130,1119,13,935,2020-12-17
74129,1105,8,963,2020-12-17
73114,1078,8,928,2020-12-17
74145,1071,5,940,2020-12-17
74960,1071,11,810,2020-12-17
73096,1069,10,949,2020-12-17
74135,1053,13,902,2020-12-17
73801,1018,5,894,2020-12-17
73115,1012,7,837,2020-12-17
74301,1008,3,851,2020-12-17
74112,979,13,840,2020-12-17
74429,973,15,803,2020-12-17
73501,953,12,849,2020-12-17
74728,932,26,827,2020-12-17
73841,931,2,921,2020-12-17
73507,925,7,823,2020-12-17
73142,924,15,784,2020-12-17
73644,911,7,770,2020-12-17
74953,909,8,813,2020-12-17
74107,905,13,782,2020-12-17
74070,905,8,779,2020-12-17
74110,896,15,790,2020-12-17
74745,890,15,788,2020-12-17
74447,881,13,737,2020-12-17
74401,878,12,698,2020-12-17
74344,870,29,747,2020-12-17
74955,868,6,756,2020-12-17
74033,865,8,744,2020-12-17
73080,862,9,763,2020-12-17
74525,851,1,743,2020-12-17
73005,844,14,724,2020-12-17
73122,828,9,675,2020-12-17
74128,825,7,719,2020-12-17
73089,804,6,737,2020-12-17
73051,803,7,701,2020-12-17
73025,792,2,676,2020-12-17
73106,769,3,675,2020-12-17
74361,765,10,633,2020-12-17
73065,759,5,679,2020-12-17
74114,758,4,681,2020-12-17
74106,756,7,677,2020-12-17
74868,750,9,637,2020-12-17
74604,733,7,600,2020-12-17
74104,720,4,646,2020-12-17
74127,718,5,641,2020-12-17
73118,711,4,616,2020-12-17
74851,685,3,621,2020-12-17
73503,679,1,639,2020-12-17
73068,678,7,556,2020-12-17
74873,677,1,584,2020-12-17
73075,667,5,572,2020-12-17
74023,664,4,546,2020-12-17
73717,660,3,591,2020-12-17
73078,646,5,558,2020-12-17
73111,641,7,482,2020-12-17
74467,635,9,537,2020-12-17
73446,630,2,571,2020-12-17
73116,623,9,543,2020-12-17
73741,612,1,391,2020-12-17
74035,611,2,571,2020-12-17
73045,601,4,488,2020-12-17
74437,600,9,519,2020-12-17
73102,597,3,567,2020-12-17
74132,594,4,533,2020-12-17
73086,589,5,490,2020-12-17
73662,584,10,535,2020-12-17
73026,579,5,485,2020-12-17
73169,579,1,553,2020-12-17
74743,569,5,498,2020-12-17
73055,564,3,453,2020-12-17
74346,552,3,462,2020-12-17
74829,550,7,530,2020-12-17
74003,547,9,476,2020-12-17
73448,533,0,471,2020-12-17
74426,515,6,426,2020-12-17
74434,513,7,395,2020-12-17
74432,511,8,393,2020-12-17
73179,511,2,456,2020-12-17
74010,487,11,400,2020-12-17
73165,477,1,411,2020-12-17
73750,467,1,413,2020-12-17
74462,464,6,400,2020-12-17
74948,455,3,391,2020-12-17
74857,454,2,386,2020-12-17
74848,439,4,393,2020-12-17
73052,430,4,379,2020-12-17
74015,425,6,365,2020-12-17
74859,422,5,323,2020-12-17
74834,421,12,360,2020-12-17
74937,420,7,364,2020-12-17
74730,411,1,355,2020-12-17
73134,408,3,368,2020-12-17
74959,406,1,364,2020-12-17
74331,398,2,340,2020-12-17
74884,397,3,340,2020-12-17
74108,396,1,350,2020-12-17
73737,389,2,368,2020-12-17
73742,386,2,351,2020-12-17
73128,382,0,319,2020-12-17
73084,381,5,320,2020-12-17
74352,377,0,312,2020-12-17
74126,369,3,331,2020-12-17
74103,366,0,350,2020-12-17
73077,366,3,253,2020-12-17
73538,365,4,323,2020-12-17
74020,365,5,302,2020-12-17
73527,358,2,316,2020-12-17
73439,344,2,296,2020-12-17
74864,343,2,294,2020-12-17
73049,343,3,289,2020-12-17
74047,340,6,284,2020-12-17
73047,336,0,319,2020-12-17
74016,333,5,282,2020-12-17
74044,331,6,290,2020-12-17
73460,327,3,270,2020-12-17
73149,323,1,270,2020-12-17
74365,319,2,264,2020-12-17
74855,319,12,267,2020-12-17
74073,319,2,268,2020-12-17
74036,314,3,257,2020-12-17
74048,313,5,266,2020-12-17
73173,313,1,262,2020-12-17
73103,312,1,278,2020-12-17
74631,308,4,248,2020-12-17
74962,306,3,272,2020-12-17
73542,303,7,264,2020-12-17
73117,301,3,253,2020-12-17
74059,300,3,248,2020-12-17
73093,297,0,280,2020-12-17
74538,294,3,244,2020-12-17
73030,294,0,232,2020-12-17
74058,289,1,224,2020-12-17
73098,288,2,233,2020-12-17
74056,288,3,245,2020-12-17
73105,281,0,236,2020-12-17
73015,280,5,226,2020-12-17
74337,279,7,230,2020-12-17
74116,275,0,248,2020-12-17
74441,273,2,227,2020-12-17
73945,272,0,243,2020-12-17
74053,270,2,236,2020-12-17
74120,267,0,224,2020-12-17
74523,266,6,238,2020-12-17
73006,263,2,207,2020-12-17
74029,257,2,230,2020-12-17
73131,257,2,220,2020-12-17
74965,255,2,220,2020-12-17
74436,253,1,203,2020-12-17
73150,245,4,197,2020-12-17
74451,243,1,194,2020-12-17
74872,241,0,217,2020-12-17
73554,232,9,209,2020-12-17
74954,231,1,209,2020-12-17
73104,229,1,193,2020-12-17
73529,229,4,195,2020-12-17
74338,228,1,186,2020-12-17
