Zip,Cases,Deaths,Recovered,ReportDate
73099,2935,9,2304,2020-11-19
74012,2795,30,2253,2020-11-19
Other***,2290,26,1822,2020-11-19
73072,2135,19,1765,2020-11-19
73160,2132,17,1700,2020-11-19
74133,1935,16,1629,2020-11-19
73119,1900,28,1562,2020-11-19
73013,1893,19,1440,2020-11-19
73071,1731,31,1444,2020-11-19
73170,1723,23,1340,2020-11-19
74055,1714,5,1378,2020-11-19
73034,1680,5,1308,2020-11-19
73942,1677,11,1528,2020-11-19
74014,1642,13,1276,2020-11-19
74074,1620,5,1416,2020-11-19
73159,1458,6,1126,2020-11-19
73701,1445,21,1210,2020-11-19
73703,1439,12,1166,2020-11-19
74136,1426,24,1269,2020-11-19
74701,1420,10,1121,2020-11-19
73521,1371,22,1121,2020-11-19
73120,1366,21,1047,2020-11-19
73069,1364,10,1181,2020-11-19
74464,1359,5,1060,2020-11-19
73109,1329,9,1080,2020-11-19
73012,1321,2,1025,2020-11-19
74017,1295,45,980,2020-11-19
73505,1286,10,992,2020-11-19
74820,1258,6,915,2020-11-19
74008,1250,7,1025,2020-11-19
74463,1230,2,766,2020-11-19
73107,1230,7,1001,2020-11-19
74137,1227,8,1032,2020-11-19
73036,1206,8,984,2020-11-19
74011,1206,10,949,2020-11-19
74037,1205,9,1035,2020-11-19
74501,1152,16,999,2020-11-19
73112,1111,15,855,2020-11-19
74134,1081,4,892,2020-11-19
73129,1076,11,856,2020-11-19
74403,1062,13,788,2020-11-19
73162,1048,15,785,2020-11-19
73401,1043,10,827,2020-11-19
73127,1038,4,825,2020-11-19
74006,1038,31,894,2020-11-19
73132,1030,7,785,2020-11-19
74063,1020,10,760,2020-11-19
73110,1016,13,757,2020-11-19
74066,991,15,810,2020-11-19
74115,981,9,879,2020-11-19
74105,979,10,843,2020-11-19
73018,975,12,818,2020-11-19
73064,963,5,746,2020-11-19
74146,936,5,807,2020-11-19
74075,930,3,775,2020-11-19
73841,914,2,901,2020-11-19
74354,912,14,798,2020-11-19
73108,898,0,724,2020-11-19
74804,892,11,761,2020-11-19
74801,836,6,693,2020-11-19
73010,811,3,632,2020-11-19
73533,811,6,619,2020-11-19
73139,804,8,642,2020-11-19
74019,802,5,594,2020-11-19
73008,801,7,606,2020-11-19
73020,796,6,630,2020-11-19
73601,781,2,604,2020-11-19
74129,780,6,686,2020-11-19
74728,776,24,660,2020-11-19
74145,758,4,632,2020-11-19
74135,745,13,614,2020-11-19
73135,740,7,586,2020-11-19
74960,730,11,551,2020-11-19
74745,729,13,539,2020-11-19
74021,714,3,530,2020-11-19
73130,703,10,563,2020-11-19
73003,696,5,530,2020-11-19
74110,695,14,619,2020-11-19
73114,686,3,547,2020-11-19
73501,684,8,524,2020-11-19
73044,673,0,537,2020-11-19
74301,672,2,567,2020-11-19
74601,655,7,515,2020-11-19
74112,653,11,573,2020-11-19
73051,652,6,548,2020-11-19
74955,648,4,541,2020-11-19
74033,643,7,535,2020-11-19
74953,636,7,527,2020-11-19
73115,627,4,477,2020-11-19
74107,619,10,513,2020-11-19
74447,612,7,526,2020-11-19
73080,607,7,457,2020-11-19
74128,603,6,537,2020-11-19
74344,602,26,507,2020-11-19
73096,595,8,513,2020-11-19
74070,591,8,490,2020-11-19
74525,588,0,418,2020-11-19
73644,588,6,504,2020-11-19
73142,586,8,440,2020-11-19
74429,585,15,480,2020-11-19
73507,585,4,420,2020-11-19
74868,569,6,489,2020-11-19
74106,566,7,509,2020-11-19
73503,560,1,546,2020-11-19
73005,552,11,454,2020-11-19
73801,548,3,390,2020-11-19
73106,543,2,396,2020-11-19
74401,542,8,403,2020-11-19
74114,540,4,446,2020-11-19
73102,539,3,509,2020-11-19
74035,534,2,508,2020-11-19
73065,529,4,446,2020-11-19
73122,528,4,396,2020-11-19
74104,516,1,433,2020-11-19
73089,515,5,411,2020-11-19
74851,508,1,449,2020-11-19
73169,506,1,472,2020-11-19
74127,494,4,418,2020-11-19
73025,488,1,368,2020-11-19
74437,486,8,401,2020-11-19
73662,461,10,414,2020-11-19
74361,456,8,351,2020-11-19
73118,452,3,341,2020-11-19
73075,448,3,361,2020-11-19
74873,429,1,359,2020-11-19
74132,424,4,372,2020-11-19
74829,424,7,284,2020-11-19
73068,417,5,332,2020-11-19
73078,413,3,318,2020-11-19
74743,410,4,350,2020-11-19
74023,410,4,322,2020-11-19
74467,408,6,336,2020-11-19
74346,392,2,339,2020-11-19
73446,384,1,281,2020-11-19
73111,380,3,295,2020-11-19
73116,379,8,288,2020-11-19
74462,370,5,285,2020-11-19
73045,368,4,298,2020-11-19
74604,365,6,278,2020-11-19
73026,362,5,285,2020-11-19
73717,361,1,206,2020-11-19
74003,361,8,309,2020-11-19
74948,356,3,314,2020-11-19
74848,344,4,299,2020-11-19
73448,339,0,231,2020-11-19
74426,337,6,269,2020-11-19
73179,328,2,251,2020-11-19
74432,327,7,251,2020-11-19
73086,325,4,250,2020-11-19
74434,321,5,238,2020-11-19
73750,315,1,269,2020-11-19
74937,306,7,276,2020-11-19
74010,305,9,254,2020-11-19
74884,304,1,263,2020-11-19
74959,303,1,280,2020-11-19
73052,295,3,211,2020-11-19
74126,283,2,238,2020-11-19
74857,282,2,211,2020-11-19
73165,282,1,208,2020-11-19
74730,279,1,230,2020-11-19
74108,278,1,253,2020-11-19
74352,273,0,213,2020-11-19
73134,272,2,201,2020-11-19
74103,272,0,238,2020-11-19
74859,264,3,189,2020-11-19
74015,264,3,209,2020-11-19
74331,262,2,211,2020-11-19
73055,256,1,171,2020-11-19
73047,255,0,228,2020-11-19
74962,250,3,206,2020-11-19
74834,246,10,195,2020-11-19
73742,245,2,208,2020-11-19
73084,240,3,178,2020-11-19
73128,239,0,191,2020-11-19
74864,236,2,197,2020-11-19
74016,231,3,193,2020-11-19
74047,223,3,174,2020-11-19
73737,221,0,151,2020-11-19
73460,219,3,182,2020-11-19
73149,218,0,168,2020-11-19
74020,217,3,175,2020-11-19
74365,215,1,165,2020-11-19
74048,214,3,179,2020-11-19
73538,213,1,141,2020-11-19
74044,212,4,160,2020-11-19
74523,209,6,176,2020-11-19
74073,206,2,167,2020-11-19
74116,204,0,176,2020-11-19
74855,204,10,167,2020-11-19
73093,203,0,156,2020-11-19
73098,197,1,137,2020-11-19
73103,194,1,147,2020-11-19
74056,193,2,130,2020-11-19
73945,189,0,168,2020-11-19
74965,188,2,153,2020-11-19
73117,187,0,146,2020-11-19
73527,186,1,138,2020-11-19
73049,186,2,141,2020-11-19
73542,184,5,139,2020-11-19
74036,183,3,154,2020-11-19
74059,182,3,150,2020-11-19
73439,182,1,134,2020-11-19
74120,181,0,159,2020-11-19
74954,180,1,158,2020-11-19
73105,179,0,144,2020-11-19
73173,179,1,145,2020-11-19
74337,174,6,135,2020-11-19
74441,173,2,125,2020-11-19
74029,171,1,153,2020-11-19
74445,171,0,144,2020-11-19
74538,170,0,118,2020-11-19
74872,168,0,119,2020-11-19
74058,166,1,133,2020-11-19
74053,165,1,141,2020-11-19
73015,165,2,107,2020-11-19
74631,164,3,119,2020-11-19
73554,163,8,129,2020-11-19
74902,162,3,139,2020-11-19
73030,161,0,123,2020-11-19
74764,159,3,141,2020-11-19
73741,158,0,64,2020-11-19
74436,158,1,133,2020-11-19
74571,156,6,133,2020-11-19
74966,155,1,137,2020-11-19
74451,155,1,124,2020-11-19
74421,153,2,133,2020-11-19
73150,149,2,112,2020-11-19
73104,148,0,110,2020-11-19
74079,146,1,120,2020-11-19
74119,146,0,120,2020-11-19
73529,144,3,121,2020-11-19
74729,142,0,111,2020-11-19
74435,139,3,108,2020-11-19
73077,139,2,106,2020-11-19
74338,138,1,115,2020-11-19
73449,138,1,93,2020-11-19
74578,137,1,118,2020-11-19
74347,136,3,114,2020-11-19
73006,133,2,103,2020-11-19
74342,133,0,104,2020-11-19
73121,132,0,111,2020-11-19
74733,132,5,97,2020-11-19
74726,131,1,105,2020-11-19
73054,129,3,105,2020-11-19
74647,128,1,94,2020-11-19
74940,128,0,112,2020-11-19
74370,127,1,115,2020-11-19
74339,126,2,115,2020-11-19
73772,126,0,92,2020-11-19
74849,122,1,91,2020-11-19
73131,122,0,88,2020-11-19
74343,121,1,110,2020-11-19
