City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,16642,172,14535,2020-10-13
TULSA,12930,126,11476,2020-10-13
NORMAN,3765,41,3298,2020-10-13
BROKEN ARROW,3655,35,3187,2020-10-13
EDMOND,3315,23,2798,2020-10-13
OTHER***,2241,16,1930,2020-10-13
STILLWATER,2148,6,1954,2020-10-13
ENID,1916,23,1587,2020-10-13
YUKON,1501,6,1250,2020-10-13
GUYMON,1342,10,1243,2020-10-13
CLAREMORE,1276,49,1076,2020-10-13
LAWTON,1264,12,1060,2020-10-13
MOORE,1263,15,1063,2020-10-13
OWASSO,1031,3,882,2020-10-13
SHAWNEE,1006,10,783,2020-10-13
TAHLEQUAH,941,4,772,2020-10-13
MUSKOGEE,940,20,714,2020-10-13
BARTLESVILLE,940,38,802,2020-10-13
JENKS,895,6,814,2020-10-13
FORT SUPPLY,883,2,865,2020-10-13
ALTUS,854,11,717,2020-10-13
MCALESTER,835,18,715,2020-10-13
BIXBY,779,5,679,2020-10-13
DURANT,758,2,627,2020-10-13
TAFT,746,2,732,2020-10-13
CHICKASHA,699,8,601,2020-10-13
MIAMI,657,6,529,2020-10-13
SAPULPA,615,12,519,2020-10-13
PONCA CITY,602,12,514,2020-10-13
BROKEN BOW,579,22,503,2020-10-13
SAND SPRINGS,578,5,499,2020-10-13
ARDMORE,556,7,466,2020-10-13
EL RENO,525,8,433,2020-10-13
MUSTANG,514,3,439,2020-10-13
VINITA,498,1,441,2020-10-13
HOMINY,487,2,361,2020-10-13
BETHANY,481,5,422,2020-10-13
CHOCTAW,469,4,387,2020-10-13
ADA,466,1,365,2020-10-13
IDABEL,461,7,403,2020-10-13
STILWELL,458,9,367,2020-10-13
CLINTON,456,0,357,2020-10-13
BLANCHARD,453,1,353,2020-10-13
LEXINGTON,444,5,369,2020-10-13
GLENPOOL,444,5,400,2020-10-13
ELK CITY,409,3,303,2020-10-13
SALLISAW,407,4,354,2020-10-13
GROVE,405,18,316,2020-10-13
WEATHERFORD,404,2,309,2020-10-13
COLLINSVILLE,401,1,347,2020-10-13
ANADARKO,398,7,333,2020-10-13
POTEAU,395,5,300,2020-10-13
OKMULGEE,384,5,333,2020-10-13
GUTHRIE,379,0,296,2020-10-13
COWETA,375,14,327,2020-10-13
MCLOUD,375,1,330,2020-10-13
SKIATOOK,371,8,323,2020-10-13
DUNCAN,351,4,292,2020-10-13
SEMINOLE,337,4,225,2020-10-13
PURCELL,324,4,269,2020-10-13
ATOKA,304,0,260,2020-10-13
NEWCASTLE,299,3,247,2020-10-13
HENRYETTA,292,3,242,2020-10-13
SAYRE,291,5,236,2020-10-13
TECUMSEH,271,0,198,2020-10-13
TUTTLE,271,4,221,2020-10-13
WAGONER,269,6,226,2020-10-13
HUGO,265,2,237,2020-10-13
PRYOR CREEK,259,4,219,2020-10-13
JAY,257,1,159,2020-10-13
MULDROW,257,3,218,2020-10-13
NOBLE,251,3,208,2020-10-13
HEAVENER,242,6,211,2020-10-13
CUSHING,240,2,217,2020-10-13
HOLDENVILLE,234,3,196,2020-10-13
PIEDMONT,228,2,191,2020-10-13
WOODWARD,224,2,183,2020-10-13
SPIRO,216,1,192,2020-10-13
BRISTOW,209,9,183,2020-10-13
HARRAH,203,1,161,2020-10-13
WEWOKA,201,1,170,2020-10-13
STIGLER,201,3,154,2020-10-13
MIDWEST CITY,198,7,172,2020-10-13
EUFAULA,197,5,155,2020-10-13
CHECOTAH,195,3,159,2020-10-13
WARR ACRES,189,0,174,2020-10-13
HINTON,184,0,157,2020-10-13
LOCUST GROVE,183,0,131,2020-10-13
PAULS VALLEY,181,2,156,2020-10-13
HENNESSEY,176,2,163,2020-10-13
KINGFISHER,167,0,140,2020-10-13
FORT GIBSON,163,4,124,2020-10-13
CHANDLER,162,9,126,2020-10-13
MARIETTA,158,0,137,2020-10-13
SPENCER,153,2,133,2020-10-13
VIAN,153,3,134,2020-10-13
CALERA,153,1,124,2020-10-13
SULPHUR,150,2,105,2020-10-13
CLEVELAND,146,3,136,2020-10-13
AFTON,144,1,120,2020-10-13
CATOOSA,144,2,131,2020-10-13
SALINA,141,1,101,2020-10-13
CHELSEA,139,1,116,2020-10-13
MADILL,137,1,116,2020-10-13
MOUNDS,137,3,119,2020-10-13
TISHOMINGO,136,3,108,2020-10-13
DEL CITY,135,0,114,2020-10-13
SPERRY,132,2,115,2020-10-13
NOWATA,130,3,88,2020-10-13
INOLA,130,3,115,2020-10-13
MANNFORD,128,4,107,2020-10-13
MEEKER,126,0,67,2020-10-13
ANTLERS,125,3,89,2020-10-13
ROLAND,123,0,99,2020-10-13
WESTVILLE,119,2,105,2020-10-13
HOOKER,118,0,114,2020-10-13
POCOLA,115,3,96,2020-10-13
LINDSAY,113,2,93,2020-10-13
HASKELL,113,1,99,2020-10-13
CHOUTEAU,112,6,90,2020-10-13
NICHOLS HILLS,111,0,100,2020-10-13
DEWEY,110,1,93,2020-10-13
ALVA,108,0,98,2020-10-13
JONES,108,2,87,2020-10-13
PRAGUE,107,0,82,2020-10-13
TALIHINA,105,3,78,2020-10-13
PERKINS,105,1,96,2020-10-13
OOLOGAH,105,0,89,2020-10-13
HOWE,104,0,90,2020-10-13
COMMERCE,103,1,92,2020-10-13
HULBERT,102,2,90,2020-10-13
FREDERICK,102,2,86,2020-10-13
MANGUM,101,8,79,2020-10-13
WASHINGTON,101,0,84,2020-10-13
WISTER,99,1,94,2020-10-13
VALLIANT,99,3,90,2020-10-13
WRIGHT CITY,97,0,79,2020-10-13
MORRIS,96,0,82,2020-10-13
PAWHUSKA,95,0,59,2020-10-13
OKEMAH,94,3,76,2020-10-13
WYANDOTTE,93,1,81,2020-10-13
BEGGS,92,0,83,2020-10-13
MARLOW,90,1,75,2020-10-13
GORE,90,3,75,2020-10-13
PAWNEE,88,1,68,2020-10-13
HAWORTH,84,2,64,2020-10-13
KINGSTON,83,1,65,2020-10-13
KANSAS,83,3,69,2020-10-13
COMANCHE,80,1,68,2020-10-13
STROUD,79,0,62,2020-10-13
WILBURTON,79,1,67,2020-10-13
TEXHOMA,78,0,76,2020-10-13
COLCORD,77,1,66,2020-10-13
HOBART,73,1,35,2020-10-13
KEOTA,73,0,68,2020-10-13
FAIRLAND,72,0,54,2020-10-13
ELGIN,71,1,53,2020-10-13
KELLYVILLE,71,2,61,2020-10-13
APACHE,70,2,48,2020-10-13
DAVIS,70,0,53,2020-10-13
LUTHER,69,1,58,2020-10-13
FORT COBB,69,0,55,2020-10-13
BARNSDALL,69,2,55,2020-10-13
GOODWELL,69,0,68,2020-10-13
CARNEGIE,67,1,46,2020-10-13
CACHE,66,0,58,2020-10-13
PERRY,66,1,62,2020-10-13
MEAD,64,1,47,2020-10-13
BINGER,64,9,49,2020-10-13
FAIRVIEW,64,0,51,2020-10-13
HARTSHORNE,64,0,61,2020-10-13
WYNNEWOOD,64,1,43,2020-10-13
QUAPAW,64,0,54,2020-10-13
KIEFER,62,0,57,2020-10-13
NEWKIRK,61,1,46,2020-10-13
WALTERS,60,1,49,2020-10-13
WATONGA,60,0,53,2020-10-13
DRUMRIGHT,60,0,47,2020-10-13
STRATFORD,58,0,34,2020-10-13
HOLLIS,58,0,45,2020-10-13
CADDO,57,0,55,2020-10-13
MAYSVILLE,57,2,39,2020-10-13
HELENA,57,0,51,2020-10-13
BOKOSHE,57,0,51,2020-10-13
COALGATE,56,0,53,2020-10-13
BLACKWELL,56,1,47,2020-10-13
PORTER,56,0,49,2020-10-13
CAMERON,55,0,43,2020-10-13
TALALA,54,0,49,2020-10-13
WETUMKA,54,0,49,2020-10-13
ALEX,54,0,47,2020-10-13
CRESCENT,52,1,43,2020-10-13
WARNER,50,0,36,2020-10-13
WATTS,50,0,45,2020-10-13
LONE GROVE,49,1,32,2020-10-13
YALE,48,0,40,2020-10-13
COLBERT,48,0,42,2020-10-13
KONAWA,48,1,38,2020-10-13
ELMORE CITY,46,0,34,2020-10-13
OKARCHE,46,0,40,2020-10-13
EARLSBORO,46,0,39,2020-10-13
BOKCHITO,45,1,32,2020-10-13
BOLEY,45,1,7,2020-10-13
HYDRO,45,0,33,2020-10-13
MINCO,45,0,36,2020-10-13
RED ROCK,45,1,43,2020-10-13
BLAIR,44,0,35,2020-10-13
QUINTON,43,0,41,2020-10-13
WILSON,42,0,35,2020-10-13
ARCADIA,42,0,32,2020-10-13
PADEN,42,0,26,2020-10-13
TONKAWA,41,0,34,2020-10-13
CEMENT,41,0,33,2020-10-13
WELLSTON,41,0,29,2020-10-13
WAYNE,41,0,36,2020-10-13
BOSWELL,39,0,29,2020-10-13
FLETCHER,39,0,26,2020-10-13
WEBBERS FALLS,39,0,26,2020-10-13
ADAIR,39,0,31,2020-10-13
BIG CABIN,39,1,31,2020-10-13
MOORELAND,38,1,32,2020-10-13
FORT TOWSON,37,0,32,2020-10-13
PORUM,37,1,32,2020-10-13
