City,Cases,Deaths,Recovered,ReportDate
WATONGA,10,0,8,2020-07-16
ALEX,10,0,8,2020-07-16
PRAGUE,10,0,9,2020-07-16
FAIRFAX,10,0,8,2020-07-16
FORT COBB,10,0,8,2020-07-16
LUTHER,10,0,6,2020-07-16
STIGLER,10,0,5,2020-07-16
GLENCOE,10,0,10,2020-07-16
STROUD,10,0,7,2020-07-16
PORTER,9,0,6,2020-07-16
WYANDOTTE,9,0,6,2020-07-16
COPAN,9,0,7,2020-07-16
SPIRO,9,0,6,2020-07-16
ANTLERS,9,0,6,2020-07-16
OPTIMA,9,0,9,2020-07-16
OLUSTEE,9,0,4,2020-07-16
TISHOMINGO,9,0,5,2020-07-16
ALVA,9,0,8,2020-07-16
APACHE,9,0,8,2020-07-16
COALGATE,8,0,7,2020-07-16
BEAVER,8,0,8,2020-07-16
DAVIS,8,0,6,2020-07-16
HOBART,8,0,4,2020-07-16
BENNINGTON,8,0,7,2020-07-16
QUAPAW,8,0,5,2020-07-16
MEEKER,8,0,4,2020-07-16
ROFF,7,0,3,2020-07-16
WILSON,7,0,5,2020-07-16
CASHION,7,0,7,2020-07-16
WELEETKA,7,0,2,2020-07-16
STONEWALL,7,1,4,2020-07-16
WALTERS,7,0,4,2020-07-16
KONAWA,7,1,4,2020-07-16
WISTER,7,0,6,2020-07-16
ELMORE CITY,7,0,7,2020-07-16
TONKAWA,7,0,4,2020-07-16
AMBER,7,0,5,2020-07-16
RINGLING,7,0,5,2020-07-16
FAIRVIEW,7,0,6,2020-07-16
VIAN,7,1,4,2020-07-16
HEALDTON,6,0,3,2020-07-16
POCOLA,6,0,4,2020-07-16
HARTSHORNE,6,0,5,2020-07-16
MINCO,6,0,4,2020-07-16
BOKOSHE,6,0,5,2020-07-16
DELAWARE,6,0,6,2020-07-16
GRACEMONT,6,0,6,2020-07-16
JENNINGS,6,0,5,2020-07-16
GEARY,6,0,5,2020-07-16
RYAN,6,0,5,2020-07-16
WAURIKA,6,0,5,2020-07-16
FORT TOWSON,6,0,5,2020-07-16
BOSWELL,6,0,4,2020-07-16
FLETCHER,6,0,6,2020-07-16
BLACKWELL,6,0,5,2020-07-16
TALALA,6,0,4,2020-07-16
NEWKIRK,6,1,4,2020-07-16
LOOKEBA,6,1,3,2020-07-16
NORTH MIAMI,6,0,5,2020-07-16
RUSH SPRINGS,6,0,5,2020-07-16
CYRIL,5,0,4,2020-07-16
KANSAS,5,0,4,2020-07-16
PORUM,5,1,4,2020-07-16
DEWAR,5,0,2,2020-07-16
QUINTON,5,0,4,2020-07-16
TEMPLE,5,2,3,2020-07-16
YALE,5,0,4,2020-07-16
EARLSBORO,5,0,3,2020-07-16
ADAIR,5,0,5,2020-07-16
RINGWOOD,5,0,4,2020-07-16
WARNER,5,0,5,2020-07-16
BOKCHITO,5,0,5,2020-07-16
WETUMKA,5,0,5,2020-07-16
ACHILLE,5,0,3,2020-07-16
BIG CABIN,5,1,0,2020-07-16
TERLTON,4,0,3,2020-07-16
SPRINGER,4,1,3,2020-07-16
MCCURTAIN,4,0,3,2020-07-16
DEPEW,4,1,2,2020-07-16
PAOLI,4,0,4,2020-07-16
FAIRLAND,4,0,2,2020-07-16
SHADY POINT,4,0,4,2020-07-16
WEBBERS FALLS,4,0,2,2020-07-16
MORRISON,4,0,3,2020-07-16
FORGAN,4,0,4,2020-07-16
LEHIGH,4,0,3,2020-07-16
INDIAHOMA,4,0,3,2020-07-16
HARDESTY,4,0,4,2020-07-16
BURNS FLAT,4,0,1,2020-07-16
SAYRE,4,0,3,2020-07-16
CANADIAN,4,0,4,2020-07-16
HOLLIS,4,0,2,2020-07-16
ORLANDO,4,0,4,2020-07-16
PRUE,4,0,4,2020-07-16
WELLSTON,3,0,3,2020-07-16
GARBER,3,0,3,2020-07-16
STRATFORD,3,0,3,2020-07-16
CRESCENT,3,0,3,2020-07-16
SAVANNA,3,0,1,2020-07-16
MULHALL,3,0,2,2020-07-16
WANETTE,3,0,3,2020-07-16
GRANITE,3,0,1,2020-07-16
PANAMA,3,0,1,2020-07-16
CARNEGIE,3,0,2,2020-07-16
CALUMET,3,0,3,2020-07-16
AGRA,3,1,2,2020-07-16
ALLEN,3,1,2,2020-07-16
LONGDALE,3,0,2,2020-07-16
MOUNTAIN VIEW,3,1,2,2020-07-16
SASAKWA,3,0,1,2020-07-16
KINTA,3,0,3,2020-07-16
MANNSVILLE,3,0,2,2020-07-16
KETCHUM,3,0,0,2020-07-16
LAHOMA,3,0,3,2020-07-16
LENAPAH,3,0,3,2020-07-16
WANN,3,0,3,2020-07-16
UNION CITY,3,0,2,2020-07-16
KIOWA,3,0,2,2020-07-16
ARAPAHO,3,0,1,2020-07-16
KEOTA,3,0,2,2020-07-16
MARBLE CITY,3,0,3,2020-07-16
THOMAS,3,0,3,2020-07-16
ASHER,3,0,3,2020-07-16
TIPTON,3,0,1,2020-07-16
MILLERTON,3,0,2,2020-07-16
SENTINEL,3,0,1,2020-07-16
CANEY,3,0,3,2020-07-16
CEMENT,3,0,1,2020-07-16
RIPLEY,3,0,3,2020-07-16
PADEN,3,0,1,2020-07-16
DOVER,3,0,1,2020-07-16
BERNICE,2,0,2,2020-07-16
FOSS,2,0,1,2020-07-16
KAW CITY,2,1,0,2020-07-16
RAVIA,2,0,1,2020-07-16
CAMERON,2,0,2,2020-07-16
KENEFIC,2,0,1,2020-07-16
THACKERVILLE,2,0,2,2020-07-16
GERONIMO,2,0,1,2020-07-16
SOUTH COFFEYVILLE,2,0,2,2020-07-16
ROLAND,2,0,2,2020-07-16
FREEDOM,2,0,0,2020-07-16
CROWDER,2,0,2,2020-07-16
LAVERNE,2,0,1,2020-07-16
SNYDER,2,0,2,2020-07-16
ARKOMA,2,0,0,2020-07-16
SAWYER,2,0,2,2020-07-16
COUNCIL HILL,2,0,1,2020-07-16
LANGSTON,2,0,2,2020-07-16
NINNEKAH,2,0,1,2020-07-16
BLAIR,2,0,2,2020-07-16
FITZHUGH,2,0,0,2020-07-16
MAUD,2,0,2,2020-07-16
OKTAHA,2,0,0,2020-07-16
MENO,2,0,2,2020-07-16
PITTSBURG,2,0,1,2020-07-16
CARNEY,2,0,0,2020-07-16
FRANCIS,2,0,1,2020-07-16
MARSHALL,2,0,2,2020-07-16
WAPANUCKA,2,0,2,2020-07-16
CHEYENNE,2,0,0,2020-07-16
SEILING,2,0,2,2020-07-16
RATTAN,2,0,1,2020-07-16
ROOSEVELT,2,0,2,2020-07-16
VERDEN,2,0,2,2020-07-16
GENE AUTRY,1,0,1,2020-07-16
TRYON,1,0,1,2020-07-16
BILLINGS,1,0,0,2020-07-16
SHATTUCK,1,0,1,2020-07-16
LEEDEY,1,0,1,2020-07-16
THE VILLAGE,1,0,1,2020-07-16
STRINGTOWN,1,0,1,2020-07-16
WELCH,1,0,1,2020-07-16
VICI,1,0,1,2020-07-16
RED OAK,1,0,1,2020-07-16
BOYNTON,1,0,1,2020-07-16
HYDRO,1,0,1,2020-07-16
POCASSET,1,0,0,2020-07-16
MARLAND,1,0,1,2020-07-16
LOCO,1,0,1,2020-07-16
OILTON,1,1,0,2020-07-16
BOISE CITY,1,0,1,2020-07-16
KREBS,1,0,1,2020-07-16
DILL CITY,1,0,1,2020-07-16
OAKS,1,0,1,2020-07-16
BRADLEY,1,0,1,2020-07-16
DAVENPORT,1,0,0,2020-07-16
CANTON,1,0,0,2020-07-16
SPAVINAW,1,0,1,2020-07-16
MEDICINE PARK,1,0,1,2020-07-16
LAMONT,1,0,1,2020-07-16
BYNG,1,0,1,2020-07-16
MOUNTAIN PARK,1,0,1,2020-07-16
BURBANK,1,0,0,2020-07-16
MOORELAND,1,0,1,2020-07-16
SPARKS,1,0,0,2020-07-16
JET,1,0,1,2020-07-16
MILL CREEK,1,0,1,2020-07-16
GRANDFIELD,1,0,1,2020-07-16
POND CREEK,1,0,0,2020-07-16
CORN,1,0,1,2020-07-16
SOPER,1,0,1,2020-07-16
DISNEY,1,0,1,2020-07-16
