Zip,Cases,Deaths,Recovered,ReportDate
73942,852,7,832,2020-08-01
74012,756,13,605,2020-08-01
73119,647,9,476,2020-08-01
74136,619,15,568,2020-08-01
74133,599,5,516,2020-08-01
73099,571,2,453,2020-08-01
74037,557,0,526,2020-08-01
73160,555,11,458,2020-08-01
73072,510,14,419,2020-08-01
73107,497,4,400,2020-08-01
73159,468,3,383,2020-08-01
73013,457,13,379,2020-08-01
73109,457,3,351,2020-08-01
Other***,443,8,332,2020-08-01
73521,430,4,322,2020-08-01
74014,425,5,339,2020-08-01
73071,419,6,340,2020-08-01
73129,407,2,317,2020-08-01
73112,385,8,320,2020-08-01
74115,383,2,315,2020-08-01
74137,382,5,336,2020-08-01
74055,377,2,320,2020-08-01
74146,377,2,324,2020-08-01
74728,373,19,328,2020-08-01
73120,363,11,293,2020-08-01
73127,362,1,302,2020-08-01
73012,351,0,323,2020-08-01
73170,342,8,281,2020-08-01
73108,340,0,251,2020-08-01
74006,335,29,296,2020-08-01
73034,332,1,264,2020-08-01
74008,327,2,273,2020-08-01
74110,315,4,271,2020-08-01
74017,310,8,195,2020-08-01
74129,310,2,263,2020-08-01
74134,302,1,238,2020-08-01
73069,300,7,220,2020-08-01
74105,297,4,258,2020-08-01
74074,296,1,266,2020-08-01
74011,292,4,239,2020-08-01
73132,272,4,211,2020-08-01
74745,271,5,227,2020-08-01
74128,264,3,213,2020-08-01
73139,260,5,204,2020-08-01
73162,256,3,192,2020-08-01
74112,251,5,202,2020-08-01
74145,249,1,214,2020-08-01
74135,243,8,202,2020-08-01
74066,240,4,188,2020-08-01
73401,238,1,198,2020-08-01
74701,235,0,187,2020-08-01
74033,235,0,203,2020-08-01
73505,230,5,203,2020-08-01
74464,225,1,139,2020-08-01
73008,225,1,174,2020-08-01
73110,224,1,182,2020-08-01
73501,217,2,209,2020-08-01
73018,214,4,196,2020-08-01
74403,205,10,131,2020-08-01
74075,205,1,185,2020-08-01
73135,202,3,158,2020-08-01
73114,197,0,161,2020-08-01
74354,189,2,156,2020-08-01
74107,188,5,154,2020-08-01
74106,187,4,155,2020-08-01
73122,186,2,151,2020-08-01
74960,184,4,120,2020-08-01
74063,183,3,153,2020-08-01
74429,183,13,145,2020-08-01
74070,180,7,152,2020-08-01
73701,177,3,113,2020-08-01
74132,171,1,147,2020-08-01
73106,169,1,138,2020-08-01
73064,168,1,147,2020-08-01
73051,165,1,53,2020-08-01
73703,165,1,128,2020-08-01
74344,165,15,141,2020-08-01
73036,163,1,126,2020-08-01
73115,163,2,124,2020-08-01
74447,161,2,110,2020-08-01
74019,160,3,130,2020-08-01
74021,156,1,130,2020-08-01
73142,156,5,126,2020-08-01
73003,154,1,125,2020-08-01
73080,152,3,133,2020-08-01
73130,150,2,127,2020-08-01
74801,148,1,105,2020-08-01
74104,146,1,126,2020-08-01
73005,141,2,62,2020-08-01
74127,141,1,116,2020-08-01
74114,141,4,119,2020-08-01
73118,137,2,119,2020-08-01
73020,137,2,111,2020-08-01
74743,134,1,126,2020-08-01
74820,130,0,103,2020-08-01
74501,129,3,83,2020-08-01
73503,123,1,121,2020-08-01
73010,121,0,108,2020-08-01
73169,117,1,96,2020-08-01
74467,114,5,88,2020-08-01
