Zip,Cases,Deaths,Recovered,ReportDate
74012,2082,26,1814,2020-10-25
73099,1847,8,1568,2020-10-25
Other***,1662,22,1427,2020-10-25
73072,1533,18,1330,2020-10-25
73119,1507,23,1346,2020-10-25
74133,1497,13,1323,2020-10-25
73160,1460,14,1245,2020-10-25
73942,1401,10,1330,2020-10-25
73071,1332,12,1143,2020-10-25
74074,1261,5,1198,2020-10-25
73013,1246,18,1032,2020-10-25
73170,1213,18,1002,2020-10-25
74136,1197,19,1084,2020-10-25
74055,1156,3,1017,2020-10-25
73034,1152,3,955,2020-10-25
74014,1146,8,1002,2020-10-25
73701,1118,17,969,2020-10-25
73069,1102,10,976,2020-10-25
73703,1057,10,879,2020-10-25
73159,1046,6,940,2020-10-25
73109,1042,9,936,2020-10-25
74464,1005,4,856,2020-10-25
74037,978,6,899,2020-10-25
73521,972,13,851,2020-10-25
73107,967,7,844,2020-10-25
73120,937,22,757,2020-10-25
74137,934,8,826,2020-10-25
74017,909,43,756,2020-10-25
74701,906,8,735,2020-10-25
73841,903,2,893,2020-10-25
74008,902,5,772,2020-10-25
74501,891,15,779,2020-10-25
73012,866,0,747,2020-10-25
74011,843,8,720,2020-10-25
73036,841,8,514,2020-10-25
73129,829,11,740,2020-10-25
74115,823,8,738,2020-10-25
74006,797,30,677,2020-10-25
74134,794,4,696,2020-10-25
73112,777,14,681,2020-10-25
74105,774,6,680,2020-10-25
73018,773,10,668,2020-10-25
73505,773,7,619,2020-10-25
73127,770,4,691,2020-10-25
74146,769,3,696,2020-10-25
74463,752,2,738,2020-10-25
74354,735,7,632,2020-10-25
73110,702,10,546,2020-10-25
73162,698,13,614,2020-10-25
74403,696,13,565,2020-10-25
73108,691,0,623,2020-10-25
74066,686,11,586,2020-10-25
74075,683,3,633,2020-10-25
73132,678,6,587,2020-10-25
74804,666,7,472,2020-10-25
73401,662,8,535,2020-10-25
74063,649,6,575,2020-10-25
73064,646,4,530,2020-10-25
74728,639,22,545,2020-10-25
74129,638,5,582,2020-10-25
74820,630,1,457,2020-10-25
74801,615,5,505,2020-10-25
74110,604,13,546,2020-10-25
73139,598,8,501,2020-10-25
74145,593,2,519,2020-10-25
74135,570,12,497,2020-10-25
73051,556,5,413,2020-10-25
73135,551,7,456,2020-10-25
73020,551,4,462,2020-10-25
73008,541,6,471,2020-10-25
73010,535,2,445,2020-10-25
73601,534,1,461,2020-10-25
74301,531,1,488,2020-10-25
74112,530,7,474,2020-10-25
74960,529,9,394,2020-10-25
74745,516,10,449,2020-10-25
74128,508,6,466,2020-10-25
73102,507,2,489,2020-10-25
73130,503,9,450,2020-10-25
74033,502,5,426,2020-10-25
73503,500,1,489,2020-10-25
73114,498,3,441,2020-10-25
74035,497,2,481,2020-10-25
74955,491,4,383,2020-10-25
74107,484,9,429,2020-10-25
74019,481,5,422,2020-10-25
74447,480,5,368,2020-10-25
74106,479,5,409,2020-10-25
73044,473,0,382,2020-10-25
74953,467,6,406,2020-10-25
73533,466,3,348,2020-10-25
74344,459,18,389,2020-10-25
73096,455,3,401,2020-10-25
73003,454,5,352,2020-10-25
73169,452,1,421,2020-10-25
73644,449,5,374,2020-10-25
74021,448,2,398,2020-10-25
73501,442,3,366,2020-10-25
73005,440,9,383,2020-10-25
74601,431,7,393,2020-10-25
73115,426,3,356,2020-10-25
74070,424,8,371,2020-10-25
