Zip,Cases,Deaths,Recovered,ReportDate
74012,1221,16,1065,2020-08-29
73119,994,11,882,2020-08-29
73942,917,7,882,2020-08-29
74133,859,5,758,2020-08-29
74136,810,15,730,2020-08-29
Other***,768,14,596,2020-08-29
73160,764,13,662,2020-08-29
73099,764,6,687,2020-08-29
73109,692,5,595,2020-08-29
73072,679,14,590,2020-08-29
73107,672,7,594,2020-08-29
74014,670,6,579,2020-08-29
74037,665,2,624,2020-08-29
73159,659,6,584,2020-08-29
73013,607,16,529,2020-08-29
74115,589,3,524,2020-08-29
73071,588,9,503,2020-08-29
74055,588,2,506,2020-08-29
73129,577,6,521,2020-08-29
74146,548,3,484,2020-08-29
74137,542,6,467,2020-08-29
74017,531,33,402,2020-08-29
73521,522,9,490,2020-08-29
73170,503,12,421,2020-08-29
73120,503,13,434,2020-08-29
73112,496,11,450,2020-08-29
73127,495,4,444,2020-08-29
74008,492,4,427,2020-08-29
74074,487,2,365,2020-08-29
74134,485,1,415,2020-08-29
73108,485,0,427,2020-08-29
73701,473,5,306,2020-08-29
74006,471,29,396,2020-08-29
73034,467,1,400,2020-08-29
74464,465,3,345,2020-08-29
74105,458,4,378,2020-08-29
74011,454,5,396,2020-08-29
74129,443,3,381,2020-08-29
73012,442,0,407,2020-08-29
74110,440,7,385,2020-08-29
73069,431,8,378,2020-08-29
74728,418,21,355,2020-08-29
73703,398,7,266,2020-08-29
74501,391,12,324,2020-08-29
74145,384,1,315,2020-08-29
73132,384,6,333,2020-08-29
73102,382,2,307,2020-08-29
73162,378,12,335,2020-08-29
73503,376,1,349,2020-08-29
73139,366,6,323,2020-08-29
74128,365,4,334,2020-08-29
74701,359,1,318,2020-08-29
74112,358,6,319,2020-08-29
74066,353,7,309,2020-08-29
74135,348,10,304,2020-08-29
74463,345,0,18,2020-08-29
73110,344,5,289,2020-08-29
74745,338,5,277,2020-08-29
73401,325,4,294,2020-08-29
73505,320,5,292,2020-08-29
74063,311,4,261,2020-08-29
74033,308,3,268,2020-08-29
74403,305,10,234,2020-08-29
73008,303,2,263,2020-08-29
74960,299,7,217,2020-08-29
73051,293,2,228,2020-08-29
74106,289,4,246,2020-08-29
73036,282,3,196,2020-08-29
74075,282,1,230,2020-08-29
73114,277,2,241,2020-08-29
74354,274,3,227,2020-08-29
74107,274,8,233,2020-08-29
73135,273,4,247,2020-08-29
74851,272,1,171,2020-08-29
74429,268,13,235,2020-08-29
73169,263,1,174,2020-08-29
74019,256,4,223,2020-08-29
73018,250,4,230,2020-08-29
73122,247,2,220,2020-08-29
73064,247,2,219,2020-08-29
73005,246,5,183,2020-08-29
73501,245,3,233,2020-08-29
74021,243,1,210,2020-08-29
74447,235,2,197,2020-08-29
74070,233,8,202,2020-08-29
74801,230,1,189,2020-08-29
73106,230,2,193,2020-08-29
73130,225,3,198,2020-08-29
74344,222,16,178,2020-08-29
73142,216,5,191,2020-08-29
73080,215,3,183,2020-08-29
74114,215,4,188,2020-08-29
73115,214,2,181,2020-08-29
74104,213,1,194,2020-08-29
74127,212,1,191,2020-08-29
73020,211,2,185,2020-08-29
74955,208,2,161,2020-08-29
74132,204,2,188,2020-08-29
73118,198,3,166,2020-08-29
74437,197,2,165,2020-08-29
74804,193,6,145,2020-08-29
73003,186,3,167,2020-08-29
73601,183,0,138,2020-08-29
74820,183,1,164,2020-08-29
74743,180,1,157,2020-08-29
74467,176,5,145,2020-08-29
74003,168,8,151,2020-08-29
74035,168,2,157,2020-08-29
73010,168,1,141,2020-08-29
73111,159,2,133,2020-08-29
73533,159,1,135,2020-08-29
74108,153,0,140,2020-08-29
74948,149,3,113,2020-08-29
74953,147,1,106,2020-08-29
