Zip,Cases,Deaths,Recovered,ReportDate
73942,833,6,820,2020-07-14
74136,477,12,418,2020-07-14
74037,461,0,434,2020-07-14
74012,404,9,290,2020-07-14
74133,369,4,278,2020-07-14
73160,340,10,268,2020-07-14
73119,315,8,219,2020-07-14
73072,314,12,244,2020-07-14
73013,299,8,228,2020-07-14
73107,294,2,211,2020-07-14
74728,291,9,225,2020-07-14
73099,288,1,204,2020-07-14
74006,287,29,239,2020-07-14
74137,258,5,202,2020-07-14
73012,253,0,202,2020-07-14
73159,252,2,185,2020-07-14
73112,244,8,186,2020-07-14
74146,244,1,193,2020-07-14
74074,236,1,222,2020-07-14
73109,228,2,149,2020-07-14
73120,225,8,175,2020-07-14
73071,224,5,172,2020-07-14
74014,217,3,161,2020-07-14
74110,212,2,162,2020-07-14
Other***,206,6,145,2020-07-14
73129,205,1,143,2020-07-14
73170,203,8,154,2020-07-14
74745,203,2,153,2020-07-14
74115,201,2,159,2020-07-14
73127,196,0,135,2020-07-14
73501,190,2,174,2020-07-14
74055,185,1,137,2020-07-14
73034,183,1,135,2020-07-14
73108,176,0,106,2020-07-14
74129,176,1,129,2020-07-14
74105,174,4,126,2020-07-14
74011,166,3,128,2020-07-14
74033,165,0,142,2020-07-14
73069,164,5,113,2020-07-14
74135,159,7,129,2020-07-14
74008,158,1,119,2020-07-14
74075,156,0,142,2020-07-14
74134,153,1,107,2020-07-14
73401,152,1,117,2020-07-14
73132,151,1,113,2020-07-14
74128,150,3,108,2020-07-14
73505,148,4,100,2020-07-14
74145,146,0,113,2020-07-14
73018,141,4,81,2020-07-14
73008,129,1,96,2020-07-14
74344,126,15,90,2020-07-14
73139,125,5,93,2020-07-14
73110,124,1,83,2020-07-14
74106,124,2,100,2020-07-14
74070,123,7,106,2020-07-14
73080,121,3,107,2020-07-14
73162,121,2,95,2020-07-14
74132,117,0,104,2020-07-14
74112,116,4,83,2020-07-14
74403,114,9,62,2020-07-14
74743,112,1,100,2020-07-14
74354,110,2,70,2020-07-14
74429,110,13,86,2020-07-14
74701,110,0,69,2020-07-14
73122,109,2,76,2020-07-14
73114,108,0,79,2020-07-14
74017,106,3,63,2020-07-14
73142,104,5,88,2020-07-14
73945,104,0,104,2020-07-14
74107,101,4,78,2020-07-14
74063,100,2,82,2020-07-14
74019,99,3,71,2020-07-14
73106,98,0,70,2020-07-14
74066,98,3,78,2020-07-14
73135,97,2,68,2020-07-14
74003,94,8,82,2020-07-14
74464,93,1,73,2020-07-14
74021,93,1,75,2020-07-14
73064,93,1,71,2020-07-14
73169,91,1,82,2020-07-14
73115,90,2,57,2020-07-14
73047,89,0,87,2020-07-14
73036,88,1,59,2020-07-14
73130,83,2,57,2020-07-14
74104,83,1,51,2020-07-14
74127,81,1,61,2020-07-14
73118,81,2,69,2020-07-14
73003,80,1,65,2020-07-14
73116,80,0,69,2020-07-14
74960,79,4,62,2020-07-14
73010,79,0,63,2020-07-14
73020,78,1,57,2020-07-14
74114,78,3,50,2020-07-14
73503,76,1,72,2020-07-14
74447,74,0,41,2020-07-14
74801,71,0,50,2020-07-14
73111,70,2,48,2020-07-14
74467,70,4,56,2020-07-14
74116,70,0,56,2020-07-14
73554,68,7,57,2020-07-14
74601,64,2,57,2020-07-14
74820,64,0,41,2020-07-14
73701,64,2,45,2020-07-14
73521,63,3,39,2020-07-14
73075,61,1,47,2020-07-14
73533,60,0,49,2020-07-14
73703,59,0,35,2020-07-14
74126,59,0,48,2020-07-14
73025,58,0,42,2020-07-14
74437,58,0,15,2020-07-14
73044,57,0,37,2020-07-14
73507,56,2,41,2020-07-14
74108,56,0,36,2020-07-14
73089,54,1,40,2020-07-14
74346,54,0,42,2020-07-14
74604,54,4,40,2020-07-14
73179,53,0,37,2020-07-14
73134,50,1,37,2020-07-14
73065,50,1,32,2020-07-14
74501,50,3,41,2020-07-14
73068,48,1,37,2020-07-14
73096,47,0,42,2020-07-14
74426,46,1,29,2020-07-14
74804,46,3,34,2020-07-14
73009,43,8,33,2020-07-14
74401,43,2,28,2020-07-14
73084,42,1,23,2020-07-14
74020,41,3,35,2020-07-14
74361,40,1,26,2020-07-14
73005,39,1,29,2020-07-14
74965,39,0,37,2020-07-14
73026,38,1,32,2020-07-14
73078,37,0,27,2020-07-14
73052,37,1,24,2020-07-14
74432,37,0,26,2020-07-14
74023,37,1,26,2020-07-14
73103,37,0,33,2020-07-14
74868,36,2,17,2020-07-14
74766,36,0,30,2020-07-14
74029,35,1,33,2020-07-14
73051,33,0,27,2020-07-14
73448,33,0,29,2020-07-14
74764,33,0,27,2020-07-14
73601,33,0,21,2020-07-14
74525,33,0,21,2020-07-14
73149,32,0,26,2020-07-14
74015,32,0,21,2020-07-14
73128,32,0,25,2020-07-14
74338,32,0,23,2020-07-14
74339,32,0,13,2020-07-14
73165,32,1,24,2020-07-14
74352,31,0,22,2020-07-14
74857,31,0,21,2020-07-14
73117,31,0,22,2020-07-14
74434,30,2,13,2020-07-14
74039,30,2,27,2020-07-14
74035,29,0,23,2020-07-14
74884,29,0,20,2020-07-14
74120,29,0,16,2020-07-14
74073,29,0,22,2020-07-14
