City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,3022,63,2143,2020-07-07
TULSA,2980,55,2245,2020-07-07
GUYMON,829,6,817,2020-07-07
EDMOND,612,10,457,2020-07-07
BROKEN ARROW,597,15,395,2020-07-07
NORMAN,593,23,440,2020-07-07
JENKS,420,0,376,2020-07-07
STILLWATER,389,0,310,2020-07-07
LAWTON,364,7,310,2020-07-07
BARTLESVILLE,350,37,293,2020-07-07
OTHER***,295,3,236,2020-07-07
MOORE,271,9,209,2020-07-07
BROKEN BOW,263,6,173,2020-07-07
YUKON,203,1,150,2020-07-07
IDABEL,181,2,128,2020-07-07
CLAREMORE,155,6,93,2020-07-07
OWASSO,149,1,103,2020-07-07
GLENPOOL,139,0,118,2020-07-07
BIXBY,120,0,76,2020-07-07
ARDMORE,119,1,79,2020-07-07
CHICKASHA,119,4,70,2020-07-07
PURCELL,111,3,92,2020-07-07
SKIATOOK,110,7,97,2020-07-07
GROVE,109,16,79,2020-07-07
MUSKOGEE,107,9,67,2020-07-07
PONCA CITY,106,5,81,2020-07-07
HUGO,105,1,95,2020-07-07
COWETA,104,12,74,2020-07-07
BETHANY,92,1,49,2020-07-07
HINTON,90,0,87,2020-07-07
HOOKER,90,0,90,2020-07-07
SAND SPRINGS,86,2,66,2020-07-07
SAPULPA,85,3,61,2020-07-07
SHAWNEE,84,4,67,2020-07-07
ENID,81,2,60,2020-07-07
DURANT,77,0,49,2020-07-07
MIAMI,75,2,45,2020-07-07
COLLINSVILLE,74,1,51,2020-07-07
EL RENO,71,1,39,2020-07-07
TAHLEQUAH,70,1,56,2020-07-07
STILWELL,67,4,56,2020-07-07
MANGUM,66,7,57,2020-07-07
WAGONER,65,4,53,2020-07-07
MUSTANG,63,1,45,2020-07-07
BLANCHARD,61,0,39,2020-07-07
CHOCTAW,53,1,35,2020-07-07
DUNCAN,50,0,38,2020-07-07
ALTUS,46,3,30,2020-07-07
MIDWEST CITY,45,2,30,2020-07-07
MCALESTER,45,3,36,2020-07-07
GUTHRIE,43,0,28,2020-07-07
WEATHERFORD,43,0,38,2020-07-07
PAULS VALLEY,42,0,33,2020-07-07
TUTTLE,42,1,31,2020-07-07
BINGER,42,9,32,2020-07-07
OKMULGEE,41,0,28,2020-07-07
ADA,41,0,30,2020-07-07
NOBLE,40,1,28,2020-07-07
CHECOTAH,38,1,29,2020-07-07
WESTVILLE,37,0,36,2020-07-07
CLEVELAND,36,2,27,2020-07-07
WRIGHT CITY,36,0,27,2020-07-07
WARR ACRES,34,0,22,2020-07-07
NEWCASTLE,34,1,24,2020-07-07
DEWEY,34,1,33,2020-07-07
JAY,34,0,26,2020-07-07
ANADARKO,33,1,26,2020-07-07
NICHOLS HILLS,32,0,30,2020-07-07
KELLYVILLE,30,2,26,2020-07-07
PRYOR CREEK,30,1,24,2020-07-07
CUSHING,30,1,20,2020-07-07
PIEDMONT,29,0,25,2020-07-07
DEL CITY,27,0,17,2020-07-07
VALLIANT,27,0,25,2020-07-07
EUFAULA,27,0,20,2020-07-07
TEXHOMA,27,0,27,2020-07-07
LINDSAY,26,1,19,2020-07-07
MARIETTA,26,0,21,2020-07-07
SPERRY,25,0,20,2020-07-07
LEXINGTON,25,0,21,2020-07-07
HOMINY,25,0,23,2020-07-07
HAWORTH,25,0,18,2020-07-07
SPENCER,24,0,16,2020-07-07
ATOKA,24,0,14,2020-07-07
CHOUTEAU,23,3,16,2020-07-07
HENRYETTA,23,0,7,2020-07-07
FREDERICK,23,1,22,2020-07-07
LOCUST GROVE,22,0,17,2020-07-07
SEMINOLE,22,2,15,2020-07-07
MADILL,22,0,15,2020-07-07
RED ROCK,22,1,18,2020-07-07
OCHELATA,22,1,21,2020-07-07
NOWATA,21,1,18,2020-07-07
HARRAH,21,0,14,2020-07-07
COLCORD,21,0,13,2020-07-07
INOLA,21,0,17,2020-07-07
VINITA,21,0,19,2020-07-07
SALLISAW,21,0,14,2020-07-07
CLINTON,21,0,12,2020-07-07
PERKINS,20,0,13,2020-07-07
CATOOSA,20,0,13,2020-07-07
HASKELL,19,0,11,2020-07-07
WEWOKA,19,0,14,2020-07-07
KINGSTON,19,0,16,2020-07-07
SALINA,19,1,6,2020-07-07
COMMERCE,19,0,5,2020-07-07
AFTON,18,0,14,2020-07-07
SULPHUR,18,0,16,2020-07-07
WASHINGTON,17,0,9,2020-07-07
TYRONE,17,0,15,2020-07-07
MOUNDS,16,0,13,2020-07-07
FORT GIBSON,16,2,10,2020-07-07
PAWNEE,16,0,15,2020-07-07
MCLOUD,16,0,12,2020-07-07
JONES,15,0,13,2020-07-07
MORRIS,15,0,1,2020-07-07
WATTS,15,0,14,2020-07-07
OOLOGAH,15,0,10,2020-07-07
MULDROW,15,1,9,2020-07-07
PERRY,14,0,10,2020-07-07
PAWHUSKA,14,0,13,2020-07-07
BEGGS,14,0,12,2020-07-07
CALERA,13,0,10,2020-07-07
WOODWARD,13,0,9,2020-07-07
GOODWELL,13,0,13,2020-07-07
KINGFISHER,12,0,8,2020-07-07
WILBURTON,12,1,7,2020-07-07
ELGIN,12,0,11,2020-07-07
COMANCHE,12,1,11,2020-07-07
OKARCHE,11,0,6,2020-07-07
CHANDLER,11,1,7,2020-07-07
BRISTOW,11,0,8,2020-07-07
MANNFORD,11,0,7,2020-07-07
ARCADIA,11,0,8,2020-07-07
RAMONA,11,0,8,2020-07-07
HENNESSEY,11,0,9,2020-07-07
WAYNE,11,0,10,2020-07-07
TECUMSEH,11,0,10,2020-07-07
ELK CITY,11,0,6,2020-07-07
HULBERT,10,0,9,2020-07-07
OKEMAH,10,0,8,2020-07-07
WATONGA,10,0,8,2020-07-07
BARNSDALL,10,2,8,2020-07-07
GLENCOE,10,0,2,2020-07-07
MEAD,10,1,4,2020-07-07
CHELSEA,10,0,3,2020-07-07
COLBERT,9,0,6,2020-07-07
KIEFER,9,0,7,2020-07-07
GORE,9,1,7,2020-07-07
GARVIN,9,0,7,2020-07-07
OPTIMA,9,0,9,2020-07-07
APACHE,8,0,7,2020-07-07
CACHE,8,0,5,2020-07-07
WYNNEWOOD,8,1,6,2020-07-07
BEAVER,8,0,8,2020-07-07
LONE GROVE,8,0,3,2020-07-07
CADDO,8,0,5,2020-07-07
ALVA,8,0,5,2020-07-07
MAYSVILLE,8,0,4,2020-07-07
ALEX,8,0,8,2020-07-07
HOLDENVILLE,8,0,5,2020-07-07
COALGATE,8,0,6,2020-07-07
MARLOW,8,0,6,2020-07-07
ANTLERS,7,0,4,2020-07-07
COPAN,7,0,6,2020-07-07
FORT COBB,7,0,7,2020-07-07
FAIRFAX,7,0,5,2020-07-07
BENNINGTON,7,0,6,2020-07-07
STIGLER,7,0,5,2020-07-07
STROUD,6,0,5,2020-07-07
PRAGUE,6,0,6,2020-07-07
GRACEMONT,6,0,6,2020-07-07
LOOKEBA,6,1,3,2020-07-07
ADAIR,6,0,6,2020-07-07
MEEKER,6,0,4,2020-07-07
QUAPAW,6,0,2,2020-07-07
DELAWARE,6,0,6,2020-07-07
ELMORE CITY,6,0,3,2020-07-07
WISTER,6,0,6,2020-07-07
HEAVENER,5,0,5,2020-07-07
JENNINGS,5,0,5,2020-07-07
MINCO,5,0,3,2020-07-07
TEMPLE,5,2,3,2020-07-07
BLACKWELL,5,0,4,2020-07-07
DAVIS,5,0,2,2020-07-07
PORUM,5,1,3,2020-07-07
HARTSHORNE,5,0,5,2020-07-07
BOKCHITO,5,0,5,2020-07-07
RUSH SPRINGS,5,0,4,2020-07-07
TALALA,5,0,4,2020-07-07
FORT TOWSON,5,0,5,2020-07-07
VIAN,5,1,3,2020-07-07
BOKOSHE,5,0,4,2020-07-07
AMBER,5,0,2,2020-07-07
POTEAU,5,0,3,2020-07-07
WILSON,5,0,4,2020-07-07
FORGAN,4,0,4,2020-07-07
GEARY,4,0,4,2020-07-07
FLETCHER,4,0,4,2020-07-07
HOBART,4,0,2,2020-07-07
SPIRO,4,0,2,2020-07-07
WARNER,4,0,4,2020-07-07
BOSWELL,4,0,3,2020-07-07
QUINTON,4,0,3,2020-07-07
ORLANDO,4,0,2,2020-07-07
