Zip,Cases,Deaths,Recovered,ReportDate
74012,1571,20,1404,2020-09-24
73119,1279,13,1118,2020-09-24
Other***,1275,17,1044,2020-09-24
73942,1173,8,1042,2020-09-24
73072,1142,15,984,2020-09-24
74133,1137,6,1020,2020-09-24
73099,1037,6,868,2020-09-24
74074,1020,3,863,2020-09-24
73160,991,13,840,2020-09-24
74136,979,17,897,2020-09-24
73071,938,9,779,2020-09-24
73109,853,7,765,2020-09-24
74014,847,7,769,2020-09-24
73013,835,16,704,2020-09-24
73841,835,1,28,2020-09-24
73069,834,8,704,2020-09-24
73159,823,6,701,2020-09-24
73701,809,9,630,2020-09-24
74055,807,2,713,2020-09-24
74037,798,3,735,2020-09-24
73107,797,6,708,2020-09-24
74463,750,2,737,2020-09-24
74464,749,4,585,2020-09-24
74137,729,7,645,2020-09-24
74017,722,40,556,2020-09-24
73170,720,13,568,2020-09-24
73034,696,2,579,2020-09-24
73129,687,9,604,2020-09-24
73703,672,10,530,2020-09-24
74115,662,4,624,2020-09-24
73521,658,10,591,2020-09-24
73120,648,20,551,2020-09-24
74501,648,14,465,2020-09-24
74008,644,5,576,2020-09-24
73127,628,4,531,2020-09-24
74146,626,3,594,2020-09-24
73112,602,12,521,2020-09-24
74011,601,6,530,2020-09-24
74134,600,3,558,2020-09-24
74006,596,29,531,2020-09-24
73108,584,0,513,2020-09-24
73012,578,0,519,2020-09-24
74701,570,1,447,2020-09-24
74105,567,4,520,2020-09-24
74129,535,4,488,2020-09-24
74075,525,1,429,2020-09-24
74728,523,21,443,2020-09-24
73018,522,6,360,2020-09-24
74110,508,11,477,2020-09-24
73162,498,13,424,2020-09-24
73132,497,6,427,2020-09-24
73102,488,2,437,2020-09-24
74066,480,9,415,2020-09-24
74354,476,3,413,2020-09-24
74403,466,11,346,2020-09-24
74145,462,1,434,2020-09-24
73110,460,9,382,2020-09-24
74135,450,12,397,2020-09-24
74063,448,5,385,2020-09-24
73139,447,6,386,2020-09-24
73503,444,1,422,2020-09-24
74301,437,1,129,2020-09-24
73401,436,6,378,2020-09-24
73505,431,6,358,2020-09-24
74112,430,7,389,2020-09-24
74128,430,4,397,2020-09-24
73036,407,8,323,2020-09-24
74960,404,8,299,2020-09-24
74745,399,7,356,2020-09-24
73008,389,5,327,2020-09-24
73051,387,4,338,2020-09-24
74033,382,4,339,2020-09-24
73135,373,4,314,2020-09-24
74801,370,2,289,2020-09-24
73114,369,3,312,2020-09-24
73169,366,1,303,2020-09-24
73130,365,6,289,2020-09-24
73064,364,2,288,2020-09-24
74106,352,4,312,2020-09-24
74107,349,8,310,2020-09-24
74019,345,5,290,2020-09-24
73020,335,3,258,2020-09-24
74851,328,1,295,2020-09-24
74804,325,6,246,2020-09-24
74429,325,13,282,2020-09-24
74021,324,1,278,2020-09-24
74447,322,4,280,2020-09-24
73005,320,5,277,2020-09-24
74070,317,8,279,2020-09-24
74955,317,4,249,2020-09-24
73115,312,2,247,2020-09-24
73010,308,1,224,2020-09-24
73122,307,3,266,2020-09-24
74820,300,1,236,2020-09-24
74114,300,4,269,2020-09-24
73601,299,0,227,2020-09-24
74104,291,1,258,2020-09-24
74344,290,17,240,2020-09-24
73106,289,2,258,2020-09-24
74601,288,5,204,2020-09-24
73501,288,3,262,2020-09-24
73142,281,5,233,2020-09-24
73003,275,4,227,2020-09-24
73533,269,2,198,2020-09-24
74132,265,2,233,2020-09-24
73080,265,3,236,2020-09-24
74127,256,2,230,2020-09-24
74953,252,4,209,2020-09-24
73096,246,0,139,2020-09-24
73118,246,3,219,2020-09-24
74525,241,0,208,2020-09-24
74437,239,3,201,2020-09-24
74743,230,2,199,2020-09-24
74467,228,6,195,2020-09-24
73644,227,1,104,2020-09-24
73044,216,0,174,2020-09-24
73065,212,3,162,2020-09-24
74003,212,8,195,2020-09-24
73068,208,3,183,2020-09-24
73089,206,4,154,2020-09-24
74035,205,2,181,2020-09-24
73025,204,0,170,2020-09-24
74401,201,3,152,2020-09-24
74023,200,2,179,2020-09-24
73507,199,2,152,2020-09-24
74848,198,3,175,2020-09-24
73111,198,2,170,2020-09-24
74937,196,5,175,2020-09-24
74948,193,3,164,2020-09-24
74108,190,0,181,2020-09-24
74868,189,4,146,2020-09-24
74959,181,1,145,2020-09-24
73116,179,0,163,2020-09-24
74010,176,9,145,2020-09-24
74361,176,3,143,2020-09-24
74884,175,1,149,2020-09-24
74873,174,0,120,2020-09-24
73026,166,4,134,2020-09-24
73179,164,2,132,2020-09-24
74126,159,2,151,2020-09-24
74462,158,3,122,2020-09-24
73078,157,1,124,2020-09-24
74116,156,0,147,2020-09-24
73742,151,2,136,2020-09-24
74432,151,2,123,2020-09-24
73801,150,0,95,2020-09-24
74604,147,5,106,2020-09-24
73075,144,1,129,2020-09-24
74962,141,3,118,2020-09-24
74426,140,3,123,2020-09-24
73047,139,0,124,2020-09-24
73045,133,0,101,2020-09-24
74020,133,3,123,2020-09-24
74346,132,1,117,2020-09-24
73084,131,3,109,2020-09-24
73149,128,0,110,2020-09-24
74015,127,1,112,2020-09-24
74352,125,0,100,2020-09-24
73134,124,1,103,2020-09-24
73945,124,0,118,2020-09-24
74331,122,0,109,2020-09-24
74834,121,9,98,2020-09-24
74857,119,2,100,2020-09-24
74434,119,4,93,2020-09-24
73446,117,1,106,2020-09-24
73128,116,0,108,2020-09-24
73750,116,0,107,2020-09-24
74073,113,2,97,2020-09-24
74047,113,3,91,2020-09-24
74730,112,1,91,2020-09-24
73662,108,0,59,2020-09-24
74036,106,3,85,2020-09-24
73448,106,0,85,2020-09-24
74120,105,0,96,2020-09-24
74044,105,3,84,2020-09-24
74016,104,0,86,2020-09-24
74965,101,2,77,2020-09-24
73105,99,0,85,2020-09-24
74365,98,1,67,2020-09-24
73103,96,1,79,2020-09-24
73117,95,0,75,2020-09-24
74451,94,1,69,2020-09-24
74436,94,1,83,2020-09-24
74337,94,6,71,2020-09-24
73165,94,1,81,2020-09-24
74339,92,0,75,2020-09-24
73554,91,8,73,2020-09-24
74766,89,0,68,2020-09-24
74059,89,1,73,2020-09-24
73717,89,0,29,2020-09-24
74441,88,2,61,2020-09-24
74048,87,3,77,2020-09-24
73052,87,2,73,2020-09-24
74954,86,0,74,2020-09-24
74029,86,1,80,2020-09-24
74103,85,0,79,2020-09-24
73460,84,3,65,2020-09-24
74421,84,0,65,2020-09-24
74902,83,3,68,2020-09-24
73049,81,2,67,2020-09-24
74571,80,3,72,2020-09-24
74764,80,2,69,2020-09-24
74370,79,1,70,2020-09-24
74119,79,0,72,2020-09-24
74859,78,2,59,2020-09-24
74445,78,0,64,2020-09-24
73086,77,1,61,2020-09-24
74966,77,0,55,2020-09-24
73093,75,0,65,2020-09-24
74864,74,0,67,2020-09-24
73104,74,0,66,2020-09-24
73173,73,0,51,2020-09-24
74053,73,0,56,2020-09-24
74058,73,0,63,2020-09-24
74435,71,1,46,2020-09-24
73949,70,0,66,2020-09-24
74940,70,0,42,2020-09-24
74338,68,1,60,2020-09-24
73542,68,2,56,2020-09-24
74523,68,1,59,2020-09-24
73055,66,0,42,2020-09-24
74740,66,2,51,2020-09-24
74941,65,0,46,2020-09-24
74578,65,1,58,2020-09-24
73529,65,1,54,2020-09-24
74347,63,2,50,2020-09-24
74039,62,2,56,2020-09-24
73939,61,0,53,2020-09-24
74079,61,0,51,2020-09-24
73077,61,0,52,2020-09-24
74547,61,0,54,2020-09-24
74130,61,1,55,2020-09-24
73121,60,0,51,2020-09-24
73439,59,0,48,2020-09-24
74131,56,0,49,2020-09-24
73145,56,0,50,2020-09-24
