Zip,Cases,Deaths,Recovered,ReportDate
74012,1524,19,1361,2020-09-20
73119,1230,13,1050,2020-09-20
Other***,1211,16,963,2020-09-20
73942,1115,8,1009,2020-09-20
73072,1091,15,923,2020-09-20
74133,1090,6,972,2020-09-20
74074,973,3,776,2020-09-20
74136,971,17,869,2020-09-20
73099,948,6,838,2020-09-20
73160,947,13,807,2020-09-20
73071,900,9,739,2020-09-20
73109,824,7,742,2020-09-20
74014,817,7,743,2020-09-20
73013,787,16,670,2020-09-20
73069,783,8,649,2020-09-20
74055,778,2,681,2020-09-20
73107,777,6,686,2020-09-20
73159,776,6,671,2020-09-20
74037,773,3,717,2020-09-20
73701,754,9,581,2020-09-20
74463,748,2,695,2020-09-20
74464,721,3,545,2020-09-20
74137,702,6,622,2020-09-20
74017,686,39,533,2020-09-20
73170,674,13,541,2020-09-20
73129,666,8,593,2020-09-20
74115,651,3,613,2020-09-20
73034,649,2,544,2020-09-20
73703,633,9,508,2020-09-20
73120,622,19,530,2020-09-20
73521,621,10,576,2020-09-20
74501,619,14,438,2020-09-20
74008,619,4,549,2020-09-20
74146,614,3,588,2020-09-20
73127,595,4,508,2020-09-20
74134,585,3,537,2020-09-20
74011,582,6,507,2020-09-20
73112,581,12,507,2020-09-20
74006,580,29,518,2020-09-20
73108,559,0,497,2020-09-20
74105,559,4,501,2020-09-20
73012,556,0,498,2020-09-20
74129,520,4,484,2020-09-20
74701,511,1,413,2020-09-20
74728,509,21,429,2020-09-20
74110,497,11,463,2020-09-20
74075,496,1,388,2020-09-20
73102,486,2,416,2020-09-20
73132,476,6,411,2020-09-20
73162,474,13,406,2020-09-20
74066,460,9,386,2020-09-20
73018,458,5,297,2020-09-20
74145,455,1,424,2020-09-20
74354,447,3,381,2020-09-20
73110,445,8,371,2020-09-20
73503,439,1,408,2020-09-20
74301,435,1,115,2020-09-20
73139,433,6,377,2020-09-20
74403,433,11,318,2020-09-20
74135,432,12,380,2020-09-20
73841,431,0,11,2020-09-20
74063,429,5,366,2020-09-20
74128,419,4,382,2020-09-20
73401,418,6,356,2020-09-20
74112,414,7,383,2020-09-20
73505,402,6,337,2020-09-20
74960,392,8,285,2020-09-20
74745,392,6,348,2020-09-20
73051,377,4,329,2020-09-20
73036,376,7,293,2020-09-20
73008,374,5,314,2020-09-20
74033,370,4,334,2020-09-20
73135,359,4,302,2020-09-20
73169,352,1,294,2020-09-20
73114,347,3,300,2020-09-20
74801,343,1,269,2020-09-20
73130,338,5,268,2020-09-20
73064,337,2,274,2020-09-20
