Zip,Cases,Deaths,Recovered,ReportDate
74012,1371,17,1196,2020-09-09
73119,1080,12,970,2020-09-09
Other***,1031,15,740,2020-09-09
73942,1013,7,921,2020-09-09
74133,985,5,841,2020-09-09
73072,916,15,663,2020-09-09
74136,894,15,790,2020-09-09
73099,826,6,743,2020-09-09
73160,817,13,731,2020-09-09
74014,756,6,663,2020-09-09
73109,749,6,665,2020-09-09
74074,743,2,482,2020-09-09
74037,721,2,653,2020-09-09
73071,720,9,572,2020-09-09
73107,713,7,641,2020-09-09
74463,699,0,342,2020-09-09
73159,695,6,631,2020-09-09
74055,679,2,586,2020-09-09
73013,678,16,580,2020-09-09
74137,634,6,525,2020-09-09
73069,626,8,425,2020-09-09
74115,617,3,572,2020-09-09
73129,615,7,548,2020-09-09
74017,612,34,479,2020-09-09
73701,606,6,446,2020-09-09
74146,591,3,541,2020-09-09
74464,581,3,428,2020-09-09
73521,563,9,510,2020-09-09
73170,556,13,475,2020-09-09
74008,555,4,489,2020-09-09
73120,553,19,481,2020-09-09
73034,548,1,456,2020-09-09
74006,543,29,442,2020-09-09
74134,535,2,472,2020-09-09
73112,529,11,473,2020-09-09
73703,525,8,361,2020-09-09
73108,519,0,467,2020-09-09
73127,517,4,478,2020-09-09
74011,517,6,445,2020-09-09
74105,512,4,448,2020-09-09
74129,491,4,435,2020-09-09
73012,485,0,441,2020-09-09
74110,479,10,425,2020-09-09
74728,463,21,381,2020-09-09
74501,452,13,381,2020-09-09
74145,427,1,377,2020-09-09
73102,426,2,378,2020-09-09
73162,418,13,361,2020-09-09
73132,416,6,365,2020-09-09
74701,411,1,353,2020-09-09
74066,403,7,337,2020-09-09
73503,402,1,386,2020-09-09
74135,399,12,329,2020-09-09
74112,393,6,352,2020-09-09
73139,392,6,347,2020-09-09
73110,389,5,321,2020-09-09
74128,388,4,358,2020-09-09
74075,386,1,274,2020-09-09
74063,376,4,304,2020-09-09
74745,371,6,317,2020-09-09
73401,366,5,314,2020-09-09
73051,360,3,318,2020-09-09
74354,357,3,265,2020-09-09
74403,351,10,269,2020-09-09
73505,350,6,308,2020-09-09
74033,346,4,288,2020-09-09
74960,341,8,246,2020-09-09
73008,328,3,283,2020-09-09
73036,314,4,260,2020-09-09
73114,312,2,274,2020-09-09
74106,312,4,281,2020-09-09
74107,311,8,258,2020-09-09
73135,303,4,262,2020-09-09
73169,297,1,263,2020-09-09
74429,293,13,254,2020-09-09
73018,289,4,242,2020-09-09
74019,289,4,244,2020-09-09
74851,288,1,255,2020-09-09
73064,279,2,247,2020-09-09
74447,278,3,222,2020-09-09
73005,277,5,232,2020-09-09
74070,275,8,228,2020-09-09
74801,272,1,219,2020-09-09
73130,268,5,223,2020-09-09
73122,268,2,238,2020-09-09
74021,267,1,239,2020-09-09
73501,263,3,242,2020-09-09
73106,258,2,221,2020-09-09
74114,258,4,214,2020-09-09
74344,248,16,202,2020-09-09
74104,246,1,211,2020-09-09
74804,241,6,179,2020-09-09
73115,238,2,197,2020-09-09
74955,238,2,198,2020-09-09
73142,237,5,210,2020-09-09
73020,233,2,202,2020-09-09
73080,233,3,206,2020-09-09
74132,231,2,201,2020-09-09
74127,231,1,203,2020-09-09
74820,218,1,182,2020-09-09
73118,213,3,188,2020-09-09
73003,213,4,181,2020-09-09
73601,210,0,182,2020-09-09
73010,208,1,168,2020-09-09
74437,206,2,184,2020-09-09
74953,195,2,150,2020-09-09
74467,195,5,165,2020-09-09
74743,194,2,172,2020-09-09
74003,194,8,163,2020-09-09
73533,192,1,153,2020-09-09
74601,181,4,127,2020-09-09
