City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,19640,198,17118,2020-11-02
TULSA,15012,148,13474,2020-11-02
NORMAN,4543,59,4021,2020-11-02
BROKEN ARROW,4399,44,3825,2020-11-02
EDMOND,4398,26,3666,2020-11-02
OTHER***,2768,18,2377,2020-11-02
STILLWATER,2361,8,2222,2020-11-02
ENID,2345,29,2023,2020-11-02
YUKON,2069,9,1758,2020-11-02
LAWTON,1717,15,1410,2020-11-02
MOORE,1588,17,1345,2020-11-02
CLAREMORE,1540,49,1266,2020-11-02
GUYMON,1466,10,1370,2020-11-02
SHAWNEE,1426,13,1105,2020-11-02
OWASSO,1283,4,1107,2020-11-02
MUSKOGEE,1177,21,934,2020-11-02
BARTLESVILLE,1146,38,1003,2020-11-02
TAHLEQUAH,1070,4,918,2020-11-02
ALTUS,1045,14,923,2020-11-02
DURANT,1014,8,843,2020-11-02
JENKS,995,8,924,2020-11-02
MCALESTER,990,19,891,2020-11-02
BIXBY,965,5,830,2020-11-02
EL RENO,940,8,729,2020-11-02
FORT SUPPLY,895,2,888,2020-11-02
CHICKASHA,815,10,739,2020-11-02
MIAMI,787,12,698,2020-11-02
TAFT,768,2,735,2020-11-02
ARDMORE,762,8,611,2020-11-02
SAPULPA,760,14,655,2020-11-02
ADA,724,2,563,2020-11-02
SAND SPRINGS,701,7,613,2020-11-02
MUSTANG,696,4,596,2020-11-02
PONCA CITY,691,13,614,2020-11-02
BROKEN BOW,656,25,567,2020-11-02
CHOCTAW,600,5,515,2020-11-02
BETHANY,587,6,503,2020-11-02
LEXINGTON,579,6,464,2020-11-02
BLANCHARD,577,2,494,2020-11-02
STILWELL,575,10,423,2020-11-02
CLINTON,559,1,502,2020-11-02
DUNCAN,556,4,423,2020-11-02
VINITA,552,2,503,2020-11-02
GLENPOOL,532,5,466,2020-11-02
IDABEL,531,9,472,2020-11-02
SALLISAW,524,4,440,2020-11-02
GUTHRIE,516,0,437,2020-11-02
OKMULGEE,512,7,419,2020-11-02
ELK CITY,511,6,433,2020-11-02
HOMINY,504,2,495,2020-11-02
GROVE,498,19,424,2020-11-02
POTEAU,486,5,439,2020-11-02
COLLINSVILLE,485,3,428,2020-11-02
SEMINOLE,472,4,383,2020-11-02
WEATHERFORD,470,5,435,2020-11-02
SKIATOOK,453,8,402,2020-11-02
ANADARKO,446,9,401,2020-11-02
COWETA,444,15,381,2020-11-02
MCLOUD,426,1,390,2020-11-02
SAYRE,412,5,364,2020-11-02
PURCELL,411,6,338,2020-11-02
HENRYETTA,402,7,318,2020-11-02
NEWCASTLE,398,4,334,2020-11-02
ATOKA,393,0,342,2020-11-02
TUTTLE,366,5,299,2020-11-02
WAGONER,342,6,289,2020-11-02
PRYOR CREEK,333,8,286,2020-11-02
TECUMSEH,333,1,275,2020-11-02
HUGO,331,2,272,2020-11-02
JAY,328,2,274,2020-11-02
WOODWARD,328,3,242,2020-11-02
NOBLE,316,4,266,2020-11-02
CUSHING,308,3,262,2020-11-02
MULDROW,308,3,261,2020-11-02
PAULS VALLEY,297,2,215,2020-11-02
HOLDENVILLE,296,4,246,2020-11-02
BOLEY,293,4,79,2020-11-02
PIEDMONT,286,3,257,2020-11-02
HEAVENER,283,7,250,2020-11-02
SPIRO,258,1,229,2020-11-02
CHECOTAH,256,4,222,2020-11-02
HARRAH,253,2,227,2020-11-02
KINGFISHER,252,1,200,2020-11-02
STIGLER,246,4,200,2020-11-02
WEWOKA,245,1,208,2020-11-02
BRISTOW,244,9,215,2020-11-02
EUFAULA,241,6,203,2020-11-02
MIDWEST CITY,230,8,193,2020-11-02
SULPHUR,225,3,182,2020-11-02
HINTON,221,0,198,2020-11-02
LOCUST GROVE,217,0,188,2020-11-02
FORT GIBSON,214,4,171,2020-11-02
WARR ACRES,214,0,195,2020-11-02
CALERA,206,1,173,2020-11-02
HENNESSEY,197,2,185,2020-11-02
VIAN,195,3,162,2020-11-02
CATOOSA,193,2,152,2020-11-02
MARIETTA,193,0,170,2020-11-02
MADILL,192,1,164,2020-11-02
CHANDLER,186,10,165,2020-11-02
CHELSEA,183,3,155,2020-11-02
SPENCER,178,2,160,2020-11-02
ANTLERS,173,6,136,2020-11-02
SALINA,172,1,135,2020-11-02
