Zip,Cases,Deaths,Recovered,ReportDate
73099,3770,13,3186,2020-12-02
74012,3408,38,2865,2020-12-02
73160,2755,18,2230,2020-12-02
Other***,2657,29,2251,2020-12-02
73072,2583,19,2206,2020-12-02
73013,2428,27,2003,2020-12-02
74133,2315,21,1987,2020-12-02
73170,2262,27,1785,2020-12-02
73119,2212,29,1909,2020-12-02
74055,2138,6,1803,2020-12-02
73034,2094,8,1740,2020-12-02
73071,2056,34,1743,2020-12-02
74014,2044,14,1728,2020-12-02
73703,1888,12,1526,2020-12-02
73159,1854,7,1518,2020-12-02
73942,1852,12,1707,2020-12-02
74074,1842,6,1683,2020-12-02
73505,1774,13,1393,2020-12-02
73701,1759,23,1507,2020-12-02
73120,1705,23,1410,2020-12-02
74820,1678,10,1355,2020-12-02
73012,1674,5,1395,2020-12-02
74701,1663,12,1433,2020-12-02
74464,1662,6,1371,2020-12-02
74136,1640,24,1434,2020-12-02
73521,1634,30,1409,2020-12-02
73069,1611,10,1405,2020-12-02
73109,1554,9,1349,2020-12-02
74017,1547,49,1280,2020-12-02
74011,1511,10,1256,2020-12-02
74008,1471,8,1259,2020-12-02
74137,1471,9,1276,2020-12-02
73107,1455,8,1241,2020-12-02
73112,1403,15,1154,2020-12-02
74037,1402,11,1240,2020-12-02
73162,1361,16,1103,2020-12-02
73036,1359,9,1209,2020-12-02
74403,1351,15,1048,2020-12-02
73401,1350,11,1101,2020-12-02
74063,1343,11,1106,2020-12-02
74463,1319,2,1273,2020-12-02
74501,1312,16,1188,2020-12-02
74134,1298,7,1109,2020-12-02
73110,1284,13,1022,2020-12-02
74006,1274,33,1097,2020-12-02
74066,1271,20,1060,2020-12-02
73129,1259,11,1062,2020-12-02
73132,1245,9,1062,2020-12-02
73127,1239,5,1057,2020-12-02
73018,1215,13,1028,2020-12-02
73064,1214,8,1031,2020-12-02
74804,1180,13,963,2020-12-02
74105,1154,10,1004,2020-12-02
74115,1134,11,1006,2020-12-02
73533,1124,10,889,2020-12-02
74075,1100,3,980,2020-12-02
73108,1078,0,920,2020-12-02
74146,1075,5,947,2020-12-02
74801,1062,6,873,2020-12-02
73601,1047,6,863,2020-12-02
74019,1029,5,874,2020-12-02
74354,1024,16,916,2020-12-02
73008,1005,7,828,2020-12-02
73010,1003,3,853,2020-12-02
73020,1003,9,834,2020-12-02
73139,977,8,820,2020-12-02
73044,957,0,733,2020-12-02
74129,935,7,810,2020-12-02
73135,923,10,745,2020-12-02
73841,923,2,912,2020-12-02
74145,899,5,770,2020-12-02
74021,898,3,766,2020-12-02
73130,890,10,732,2020-12-02
73003,886,6,727,2020-12-02
74601,879,7,721,2020-12-02
73114,877,4,718,2020-12-02
74135,877,13,754,2020-12-02
74728,855,25,754,2020-12-02
74960,844,11,677,2020-12-02
73501,829,9,700,2020-12-02
74745,817,13,739,2020-12-02
73096,817,8,677,2020-12-02
73115,816,5,644,2020-12-02
73801,809,4,654,2020-12-02
74301,796,2,694,2020-12-02
74112,796,11,670,2020-12-02
74110,786,14,696,2020-12-02
73507,777,5,619,2020-12-02
74429,774,15,654,2020-12-02
74953,759,7,658,2020-12-02
74955,752,4,663,2020-12-02
73644,749,6,629,2020-12-02
73142,748,11,622,2020-12-02
74107,743,11,634,2020-12-02
74033,740,7,643,2020-12-02
74447,739,10,606,2020-12-02
74070,737,8,637,2020-12-02
73080,737,8,625,2020-12-02
73051,722,7,626,2020-12-02
74344,714,28,610,2020-12-02
74401,704,9,522,2020-12-02
74128,704,6,621,2020-12-02
74525,703,0,622,2020-12-02
73005,695,13,554,2020-12-02
73089,660,5,551,2020-12-02
74106,654,7,588,2020-12-02
73106,653,2,561,2020-12-02
73122,652,6,532,2020-12-02
74114,649,4,559,2020-12-02
74868,634,7,556,2020-12-02
73025,627,2,520,2020-12-02
73065,625,4,554,2020-12-02
74104,609,3,537,2020-12-02
74127,601,4,521,2020-12-02
74851,595,1,516,2020-12-02
74361,594,9,498,2020-12-02
73503,586,1,576,2020-12-02
73118,571,4,476,2020-12-02
73102,569,3,538,2020-12-02
74035,553,2,533,2020-12-02
73075,548,5,476,2020-12-02
74604,540,6,421,2020-12-02
74873,540,1,450,2020-12-02
73169,539,1,511,2020-12-02
74829,535,7,412,2020-12-02
74437,530,9,469,2020-12-02
73446,526,2,444,2020-12-02
73068,526,6,426,2020-12-02
73662,520,10,478,2020-12-02
73078,516,4,446,2020-12-02
74132,512,4,433,2020-12-02
74467,507,7,420,2020-12-02
73717,506,1,375,2020-12-02
74023,489,4,425,2020-12-02
73116,481,9,391,2020-12-02
74743,474,4,413,2020-12-02
73111,467,4,383,2020-12-02
73026,461,5,385,2020-12-02
73045,448,4,375,2020-12-02
74346,445,2,392,2020-12-02
74003,439,9,383,2020-12-02
73448,434,0,378,2020-12-02
73086,434,5,345,2020-12-02
74462,411,6,365,2020-12-02
73179,406,2,342,2020-12-02
74426,403,6,348,2020-12-02
74848,399,4,364,2020-12-02
74432,397,7,340,2020-12-02
73055,395,3,298,2020-12-02
74948,394,3,353,2020-12-02
74434,385,5,319,2020-12-02
74010,380,11,317,2020-12-02
73750,372,1,326,2020-12-02
73165,365,1,298,2020-12-02
74857,363,2,306,2020-12-02
73052,361,3,324,2020-12-02
73737,342,1,244,2020-12-02
73134,341,2,287,2020-12-02
74884,339,2,297,2020-12-02
74015,337,3,279,2020-12-02
74937,336,7,309,2020-12-02
74103,335,0,290,2020-12-02
74730,335,1,285,2020-12-02
74959,333,1,314,2020-12-02
74108,327,1,292,2020-12-02
74834,326,10,269,2020-12-02
74126,324,2,295,2020-12-02
74352,321,0,271,2020-12-02
74331,314,2,280,2020-12-02
74859,311,3,263,2020-12-02
73084,304,3,244,2020-12-02
73742,301,2,273,2020-12-02
73128,295,0,249,2020-12-02
73047,295,0,262,2020-12-02
73538,291,2,229,2020-12-02
73527,285,1,210,2020-12-02
74044,279,4,239,2020-12-02
74020,279,5,246,2020-12-02
74047,275,6,236,2020-12-02
74962,275,3,247,2020-12-02
74365,274,2,208,2020-12-02
74864,274,2,248,2020-12-02
73149,268,0,216,2020-12-02
74016,262,3,239,2020-12-02
73460,261,3,226,2020-12-02
73049,258,2,194,2020-12-02
74048,257,4,219,2020-12-02
74073,257,2,223,2020-12-02
73439,257,2,215,2020-12-02
73103,255,1,211,2020-12-02
74855,255,11,206,2020-12-02
73093,254,0,218,2020-12-02
74538,249,2,209,2020-12-02
73117,245,0,191,2020-12-02
74036,241,3,200,2020-12-02
73098,235,2,199,2020-12-02
73542,235,6,190,2020-12-02
74523,234,6,207,2020-12-02
73741,234,1,168,2020-12-02
73173,233,1,194,2020-12-02
73945,233,0,206,2020-12-02
74056,230,2,196,2020-12-02
74631,229,4,183,2020-12-02
74059,229,3,189,2020-12-02
74116,226,0,206,2020-12-02
73105,225,0,189,2020-12-02
73015,225,5,162,2020-12-02
74441,224,2,179,2020-12-02
74337,222,6,183,2020-12-02
74965,218,2,186,2020-12-02
73030,213,0,183,2020-12-02
74872,211,0,190,2020-12-02
