City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,8108,90,6687,2020-08-05
TULSA,6682,77,5652,2020-08-05
BROKEN ARROW,1643,23,1311,2020-08-05
EDMOND,1438,19,1226,2020-08-05
NORMAN,1419,31,1203,2020-08-05
GUYMON,861,7,845,2020-08-05
OTHER***,748,6,616,2020-08-05
YUKON,611,3,499,2020-08-05
MOORE,610,11,509,2020-08-05
LAWTON,594,9,533,2020-08-05
JENKS,575,0,541,2020-08-05
STILLWATER,551,3,495,2020-08-05
CLAREMORE,543,13,379,2020-08-05
BARTLESVILLE,471,37,405,2020-08-05
ALTUS,449,5,375,2020-08-05
OWASSO,404,2,354,2020-08-05
BROKEN BOW,376,21,330,2020-08-05
ENID,362,4,278,2020-08-05
MUSKOGEE,341,12,226,2020-08-05
BIXBY,340,2,292,2020-08-05
SHAWNEE,281,8,209,2020-08-05
IDABEL,276,5,236,2020-08-05
TAHLEQUAH,272,2,166,2020-08-05
ARDMORE,258,2,220,2020-08-05
SAPULPA,258,4,218,2020-08-05
GLENPOOL,252,0,217,2020-08-05
DURANT,249,0,205,2020-08-05
BETHANY,234,1,196,2020-08-05
CHICKASHA,216,4,202,2020-08-05
SAND SPRINGS,215,3,166,2020-08-05
STILWELL,204,5,133,2020-08-05
MIAMI,196,2,179,2020-08-05
COWETA,193,13,155,2020-08-05
PONCA CITY,192,8,156,2020-08-05
SKIATOOK,189,7,162,2020-08-05
MUSTANG,183,1,164,2020-08-05
EL RENO,173,1,138,2020-08-05
COLLINSVILLE,173,1,144,2020-08-05
GROVE,167,16,145,2020-08-05
PURCELL,164,3,140,2020-08-05
LEXINGTON,163,1,145,2020-08-05
OKMULGEE,163,2,131,2020-08-05
MCALESTER,157,3,104,2020-08-05
CHOCTAW,156,2,125,2020-08-05
ANADARKO,148,3,78,2020-08-05
ADA,142,0,116,2020-08-05
HUGO,138,1,128,2020-08-05
BLANCHARD,132,1,117,2020-08-05
SALLISAW,124,1,76,2020-08-05
WARR ACRES,122,0,93,2020-08-05
WAGONER,122,5,92,2020-08-05
DUNCAN,121,1,91,2020-08-05
HENRYETTA,118,1,85,2020-08-05
CLINTON,114,0,89,2020-08-05
GUTHRIE,111,0,95,2020-08-05
HINTON,106,0,96,2020-08-05
NEWCASTLE,105,1,89,2020-08-05
NOBLE,103,1,83,2020-08-05
TUTTLE,100,2,83,2020-08-05
PAULS VALLEY,97,1,88,2020-08-05
WEWOKA,97,1,58,2020-08-05
PRYOR CREEK,97,2,77,2020-08-05
HOOKER,93,0,91,2020-08-05
MIDWEST CITY,91,2,74,2020-08-05
HOLDENVILLE,85,1,53,2020-08-05
JAY,85,1,81,2020-08-05
CHECOTAH,82,1,67,2020-08-05
SEMINOLE,78,3,58,2020-08-05
MULDROW,77,1,54,2020-08-05
MANGUM,77,8,66,2020-08-05
PIEDMONT,76,1,69,2020-08-05
CUSHING,74,1,57,2020-08-05
MADILL,71,0,53,2020-08-05
EUFAULA,71,0,52,2020-08-05
AFTON,67,0,58,2020-08-05
DEL CITY,67,0,50,2020-08-05
WEATHERFORD,66,0,61,2020-08-05
CATOOSA,66,0,50,2020-08-05
