Zip,Cases,Deaths,Recovered,ReportDate
73942,836,7,823,2020-07-23
74136,551,13,492,2020-07-23
74012,529,12,422,2020-07-23
74037,500,0,472,2020-07-23
74133,461,5,388,2020-07-23
73119,451,9,331,2020-07-23
73160,433,10,354,2020-07-23
73072,407,12,326,2020-07-23
73099,399,2,331,2020-07-23
73107,386,3,292,2020-07-23
73013,364,12,298,2020-07-23
73159,344,2,269,2020-07-23
74728,341,15,263,2020-07-23
73109,321,2,235,2020-07-23
74137,312,5,270,2020-07-23
74006,312,29,268,2020-07-23
73071,302,5,242,2020-07-23
73012,301,0,272,2020-07-23
73112,295,8,242,2020-07-23
74014,292,3,231,2020-07-23
73129,288,1,219,2020-07-23
74146,286,2,255,2020-07-23
73120,285,10,238,2020-07-23
Other***,283,6,213,2020-07-23
74115,279,2,222,2020-07-23
73127,273,0,207,2020-07-23
74055,273,2,205,2020-07-23
74074,260,1,237,2020-07-23
73170,258,8,213,2020-07-23
73034,246,1,208,2020-07-23
74110,246,2,208,2020-07-23
73108,239,0,172,2020-07-23
74745,238,3,192,2020-07-23
74105,232,4,193,2020-07-23
74129,231,1,186,2020-07-23
73521,226,3,106,2020-07-23
74008,221,2,184,2020-07-23
74011,210,4,169,2020-07-23
74134,209,1,162,2020-07-23
73069,203,5,170,2020-07-23
73139,199,5,132,2020-07-23
73132,199,1,149,2020-07-23
73501,199,2,185,2020-07-23
74128,192,3,170,2020-07-23
74033,191,0,166,2020-07-23
74135,189,7,149,2020-07-23
73401,188,2,161,2020-07-23
74145,187,0,159,2020-07-23
73162,186,3,136,2020-07-23
73018,185,4,153,2020-07-23
73110,178,1,133,2020-07-23
73505,178,4,150,2020-07-23
74075,177,0,156,2020-07-23
74112,173,4,124,2020-07-23
74017,173,5,101,2020-07-23
73008,169,1,136,2020-07-23
74701,168,0,119,2020-07-23
74066,154,3,110,2020-07-23
74106,152,3,126,2020-07-23
74354,150,2,115,2020-07-23
74403,148,10,95,2020-07-23
73122,148,2,113,2020-07-23
74344,144,15,113,2020-07-23
74070,143,7,125,2020-07-23
73114,143,0,115,2020-07-23
74464,138,1,98,2020-07-23
73135,136,2,103,2020-07-23
74063,136,2,105,2020-07-23
74429,136,13,101,2020-07-23
74107,135,5,112,2020-07-23
74132,134,0,123,2020-07-23
73080,132,3,115,2020-07-23
74743,125,1,109,2020-07-23
73142,125,5,101,2020-07-23
74960,125,4,78,2020-07-23
73064,124,1,105,2020-07-23
73115,119,2,88,2020-07-23
74019,119,3,99,2020-07-23
73106,118,0,93,2020-07-23
74021,117,1,99,2020-07-23
73003,115,1,86,2020-07-23
73036,114,1,88,2020-07-23
73130,113,2,90,2020-07-23
73118,111,2,89,2020-07-23
73020,108,2,77,2020-07-23
74104,106,1,93,2020-07-23
74114,106,3,83,2020-07-23
74447,104,0,62,2020-07-23
73945,104,0,104,2020-07-23
74127,104,1,83,2020-07-23
74003,100,8,88,2020-07-23
73010,97,0,84,2020-07-23
73169,97,1,93,2020-07-23
73503,96,1,89,2020-07-23
74801,96,1,64,2020-07-23
73703,96,0,64,2020-07-23
73116,91,0,86,2020-07-23
73701,90,2,61,2020-07-23
73047,90,0,88,2020-07-23
74820,89,0,71,2020-07-23
73111,84,2,70,2020-07-23
74467,83,4,65,2020-07-23
74601,79,3,63,2020-07-23
74108,78,0,58,2020-07-23
74116,78,0,73,2020-07-23
73044,78,0,63,2020-07-23
73533,77,0,66,2020-07-23
74346,76,1,63,2020-07-23
73065,74,1,61,2020-07-23
73507,73,2,60,2020-07-23
73025,73,0,65,2020-07-23
73089,72,2,59,2020-07-23
73554,71,7,58,2020-07-23
73075,71,1,64,2020-07-23
74437,70,0,52,2020-07-23
74804,69,4,46,2020-07-23
74126,67,0,55,2020-07-23
74604,65,4,50,2020-07-23
73179,65,0,51,2020-07-23
74501,65,3,51,2020-07-23
73068,64,1,49,2020-07-23
74361,64,1,41,2020-07-23
74401,62,2,39,2020-07-23
73601,61,0,36,2020-07-23
73096,61,0,52,2020-07-23
73134,59,1,49,2020-07-23
73078,58,0,47,2020-07-23
74426,55,1,49,2020-07-23
73128,55,0,39,2020-07-23
73005,52,1,40,2020-07-23
74432,52,0,36,2020-07-23
74352,51,0,31,2020-07-23
73051,51,0,37,2020-07-23
74965,50,0,44,2020-07-23
73149,50,0,32,2020-07-23
74023,50,1,38,2020-07-23
73102,49,0,19,2020-07-23
74020,49,3,38,2020-07-23
73084,48,1,40,2020-07-23
74868,47,3,33,2020-07-23
73009,46,8,38,2020-07-23
73026,46,1,38,2020-07-23
73052,46,1,38,2020-07-23
74766,46,0,32,2020-07-23
74955,46,0,26,2020-07-23
74015,44,0,36,2020-07-23
74434,43,3,28,2020-07-23
73103,43,0,41,2020-07-23
74120,42,0,34,2020-07-23
74331,42,0,30,2020-07-23
74884,41,1,27,2020-07-23
73448,41,0,37,2020-07-23
74029,40,1,36,2020-07-23
74857,39,0,36,2020-07-23
74337,39,3,24,2020-07-23
74073,38,1,30,2020-07-23
74365,38,1,21,2020-07-23
74525,38,0,34,2020-07-23
73117,37,0,32,2020-07-23
74339,37,0,30,2020-07-23
74764,37,0,29,2020-07-23
74035,37,0,28,2020-07-23
73446,37,0,28,2020-07-23
73105,36,0,33,2020-07-23
73165,36,1,33,2020-07-23
74740,36,0,24,2020-07-23
74036,35,2,24,2020-07-23
74301,34,0,26,2020-07-23
74338,34,1,30,2020-07-23
73104,34,0,28,2020-07-23
74948,33,1,25,2020-07-23
74039,32,2,28,2020-07-23
73049,32,0,24,2020-07-23
74047,32,1,26,2020-07-23
73542,32,1,23,2020-07-23
73750,32,0,24,2020-07-23
74851,32,0,25,2020-07-23
74119,32,0,27,2020-07-23
74103,31,0,25,2020-07-23
74058,30,0,23,2020-07-23
73086,30,0,27,2020-07-23
74059,30,0,21,2020-07-23
73141,30,0,28,2020-07-23
73045,29,0,26,2020-07-23
73949,29,0,29,2020-07-23
73529,29,1,18,2020-07-23
73173,28,0,24,2020-07-23
74130,28,1,22,2020-07-23
74010,26,1,18,2020-07-23
74048,26,1,24,2020-07-23
73093,25,0,20,2020-07-23
74651,25,1,23,2020-07-23
74730,25,0,15,2020-07-23
74044,25,0,15,2020-07-23
74571,25,1,8,2020-07-23
73077,24,0,17,2020-07-23
74053,24,0,23,2020-07-23
73644,24,0,16,2020-07-23
74445,24,0,18,2020-07-23
74051,23,1,21,2020-07-23
73538,23,0,15,2020-07-23
