Zip,Cases,Deaths,Recovered,ReportDate
74012,2247,27,1979,2020-11-04
73099,2108,9,1812,2020-11-04
Other***,1786,24,1547,2020-11-04
73072,1651,18,1463,2020-11-04
73160,1620,16,1378,2020-11-04
74133,1606,14,1442,2020-11-04
73119,1582,25,1410,2020-11-04
73942,1486,10,1381,2020-11-04
73071,1421,25,1258,2020-11-04
73013,1399,18,1153,2020-11-04
74074,1350,5,1248,2020-11-04
73170,1317,20,1117,2020-11-04
74055,1315,4,1125,2020-11-04
74136,1279,22,1152,2020-11-04
74014,1252,9,1101,2020-11-04
73034,1251,4,1090,2020-11-04
73701,1214,19,1068,2020-11-04
73069,1156,10,1060,2020-11-04
73703,1141,10,996,2020-11-04
73159,1102,6,995,2020-11-04
73109,1090,9,975,2020-11-04
73521,1060,14,937,2020-11-04
74464,1055,4,916,2020-11-04
74701,1033,9,853,2020-11-04
74037,1023,9,944,2020-11-04
73120,1019,21,861,2020-11-04
73107,1017,7,908,2020-11-04
74017,1013,43,818,2020-11-04
74137,1010,8,900,2020-11-04
74008,1000,5,862,2020-11-04
73012,981,0,817,2020-11-04
74501,961,16,864,2020-11-04
73036,958,8,757,2020-11-04
74011,941,9,797,2020-11-04
73841,905,2,898,2020-11-04
73505,902,8,729,2020-11-04
74115,877,8,794,2020-11-04
74134,876,4,774,2020-11-04
73129,870,11,769,2020-11-04
74006,866,30,754,2020-11-04
73112,843,14,728,2020-11-04
73127,818,4,726,2020-11-04
74105,817,8,743,2020-11-04
74146,804,4,750,2020-11-04
73018,795,11,741,2020-11-04
74820,791,3,593,2020-11-04
74354,780,13,713,2020-11-04
74403,774,13,618,2020-11-04
74463,772,2,739,2020-11-04
73401,770,8,615,2020-11-04
73110,770,10,636,2020-11-04
74066,765,13,655,2020-11-04
73132,758,6,646,2020-11-04
73162,755,14,661,2020-11-04
74804,749,9,628,2020-11-04
74075,733,3,670,2020-11-04
74063,716,7,627,2020-11-04
73108,715,0,652,2020-11-04
73064,707,4,620,2020-11-04
74801,685,5,574,2020-11-04
74728,681,24,591,2020-11-04
74129,675,5,613,2020-11-04
73139,641,8,545,2020-11-04
74145,636,3,567,2020-11-04
74110,636,13,572,2020-11-04
74135,613,13,532,2020-11-04
73020,608,5,524,2020-11-04
73008,595,6,509,2020-11-04
74960,591,10,438,2020-11-04
73135,591,7,504,2020-11-04
73010,583,3,505,2020-11-04
74112,575,9,504,2020-11-04
73533,571,3,437,2020-11-04
73601,567,1,513,2020-11-04
73051,564,6,473,2020-11-04
74301,562,2,513,2020-11-04
74019,551,5,461,2020-11-04
74745,548,10,481,2020-11-04
73503,543,1,499,2020-11-04
73130,543,10,483,2020-11-04
74033,540,5,477,2020-11-04
74128,540,6,489,2020-11-04
73114,537,3,472,2020-11-04
74447,527,7,437,2020-11-04
74955,527,4,461,2020-11-04
73044,521,0,452,2020-11-04
73102,516,3,496,2020-11-04
74107,508,10,462,2020-11-04
74106,507,5,457,2020-11-04
74035,507,2,492,2020-11-04
73003,507,5,412,2020-11-04
74953,505,7,455,2020-11-04
74021,503,3,437,2020-11-04
73644,497,6,418,2020-11-04
74344,493,18,427,2020-11-04
73501,492,3,407,2020-11-04
73169,475,1,441,2020-11-04
73096,473,5,439,2020-11-04
73115,466,3,391,2020-11-04
74601,466,7,414,2020-11-04
74070,464,8,410,2020-11-04
74868,460,4,374,2020-11-04
74429,459,15,387,2020-11-04
73005,453,9,409,2020-11-04
73142,440,8,375,2020-11-04
74851,436,1,398,2020-11-04
74114,431,4,374,2020-11-04
73065,418,4,351,2020-11-04
74104,417,1,365,2020-11-04
73080,412,7,340,2020-11-04
73662,411,6,362,2020-11-04
74437,407,7,323,2020-11-04
74127,407,3,348,2020-11-04
74401,403,7,311,2020-11-04
73122,401,3,351,2020-11-04
74525,398,0,350,2020-11-04
73106,397,2,354,2020-11-04
73089,380,5,311,2020-11-04
73507,369,4,305,2020-11-04
74132,363,3,327,2020-11-04
73025,356,0,307,2020-11-04
74467,343,6,295,2020-11-04
74873,340,1,283,2020-11-04
74743,335,2,281,2020-11-04
74361,334,8,297,2020-11-04
73118,334,3,296,2020-11-04
74346,325,2,272,2020-11-04
73068,324,5,272,2020-11-04
73801,324,3,251,2020-11-04
74023,318,3,274,2020-11-04
74948,313,3,268,2020-11-04
73075,311,2,225,2020-11-04
74848,299,4,256,2020-11-04
73111,296,2,252,2020-11-04
74829,296,4,83,2020-11-04
73078,293,3,262,2020-11-04
74003,290,8,259,2020-11-04
73116,281,4,241,2020-11-04
74937,280,6,244,2020-11-04
73026,280,4,239,2020-11-04
74462,268,4,212,2020-11-04
74959,265,1,234,2020-11-04
74426,263,5,230,2020-11-04
73750,260,1,216,2020-11-04
73045,259,2,237,2020-11-04
74884,254,1,215,2020-11-04
74108,251,1,231,2020-11-04
74432,247,6,206,2020-11-04
74010,247,9,216,2020-11-04
73179,245,2,218,2020-11-04
74604,238,6,213,2020-11-04
74126,233,2,208,2020-11-04
73086,228,3,180,2020-11-04
74434,227,4,182,2020-11-04
73047,224,0,196,2020-11-04
74352,219,0,191,2020-11-04
74730,216,1,175,2020-11-04
74103,213,0,197,2020-11-04
73446,211,1,168,2020-11-04
73448,202,0,176,2020-11-04
74962,200,3,169,2020-11-04
74015,199,2,160,2020-11-04
73165,198,1,170,2020-11-04
73742,196,2,184,2020-11-04
74857,195,2,162,2020-11-04
73134,191,1,164,2020-11-04
74331,189,2,168,2020-11-04
73128,188,0,165,2020-11-04
74834,187,10,167,2020-11-04
74016,187,3,163,2020-11-04
73084,181,2,163,2020-11-04
74859,180,3,125,2020-11-04
74116,180,0,169,2020-11-04
74523,178,6,138,2020-11-04
74365,177,1,137,2020-11-04
74048,173,3,153,2020-11-04
74864,173,1,131,2020-11-04
73052,170,2,134,2020-11-04
73460,169,3,148,2020-11-04
73717,168,0,148,2020-11-04
73149,168,0,144,2020-11-04
74073,165,2,141,2020-11-04
74020,163,3,146,2020-11-04
73945,163,0,151,2020-11-04
74855,162,9,139,2020-11-04
74047,160,3,142,2020-11-04
74036,156,3,143,2020-11-04
74965,153,2,118,2020-11-04
74044,152,4,133,2020-11-04
74954,151,1,136,2020-11-04
74120,150,0,136,2020-11-04
73117,148,0,127,2020-11-04
74029,145,1,130,2020-11-04
73055,142,1,99,2020-11-04
73049,141,2,118,2020-11-04
73103,141,1,119,2020-11-04
74764,141,3,116,2020-11-04
74053,139,0,120,2020-11-04
73105,138,0,130,2020-11-04
