Zip,Cases,Deaths,Recovered,ReportDate
74012,1198,16,1032,2020-08-27
73119,982,11,859,2020-08-27
73942,908,7,879,2020-08-27
74133,840,5,740,2020-08-27
74136,802,15,727,2020-08-27
73160,756,13,653,2020-08-27
73099,751,6,673,2020-08-27
Other***,735,14,582,2020-08-27
73109,687,5,575,2020-08-27
73107,663,7,584,2020-08-27
74037,659,2,619,2020-08-27
73072,658,14,586,2020-08-27
73159,658,5,578,2020-08-27
74014,649,6,561,2020-08-27
73013,585,16,517,2020-08-27
73071,575,9,494,2020-08-27
73129,575,5,511,2020-08-27
74055,570,2,487,2020-08-27
74115,569,3,515,2020-08-27
74146,536,3,469,2020-08-27
74137,521,6,460,2020-08-27
73521,516,8,486,2020-08-27
74017,511,33,387,2020-08-27
73120,501,13,428,2020-08-27
73170,497,12,414,2020-08-27
73112,494,11,444,2020-08-27
73127,490,4,433,2020-08-27
73108,482,0,416,2020-08-27
74008,478,3,421,2020-08-27
74134,471,1,405,2020-08-27
74006,456,29,386,2020-08-27
74105,452,4,368,2020-08-27
73034,451,1,397,2020-08-27
73701,446,4,282,2020-08-27
74464,443,3,331,2020-08-27
74011,440,5,384,2020-08-27
73012,438,0,402,2020-08-27
74129,437,3,369,2020-08-27
74074,434,2,354,2020-08-27
74110,429,7,377,2020-08-27
73069,427,8,369,2020-08-27
74728,415,21,349,2020-08-27
74145,377,1,307,2020-08-27
73132,375,6,320,2020-08-27
73503,374,1,193,2020-08-27
74501,373,12,314,2020-08-27
73162,369,11,330,2020-08-27
73703,362,7,234,2020-08-27
73139,360,6,318,2020-08-27
74128,360,4,327,2020-08-27
73102,360,2,291,2020-08-27
74112,353,6,312,2020-08-27
74701,350,1,308,2020-08-27
74066,341,7,306,2020-08-27
74135,340,10,297,2020-08-27
74745,336,5,276,2020-08-27
73110,335,5,279,2020-08-27
73401,323,4,288,2020-08-27
73505,321,5,289,2020-08-27
74033,296,3,263,2020-08-27
73008,295,2,259,2020-08-27
74403,294,10,230,2020-08-27
74063,294,4,256,2020-08-27
74960,291,5,214,2020-08-27
73051,289,2,226,2020-08-27
74106,285,4,236,2020-08-27
73036,279,3,191,2020-08-27
73114,271,2,240,2020-08-27
73135,270,4,238,2020-08-27
74075,268,1,225,2020-08-27
74107,267,7,228,2020-08-27
74429,266,13,230,2020-08-27
74354,261,3,215,2020-08-27
74851,258,1,80,2020-08-27
74019,252,3,219,2020-08-27
73018,247,4,228,2020-08-27
73064,243,2,216,2020-08-27
73501,243,3,232,2020-08-27
73122,242,2,213,2020-08-27
74021,240,1,204,2020-08-27
73005,231,5,174,2020-08-27
74070,231,7,198,2020-08-27
73169,224,1,169,2020-08-27
74447,224,2,190,2020-08-27
73130,220,2,187,2020-08-27
74801,220,1,184,2020-08-27
74344,215,16,175,2020-08-27
73106,215,2,189,2020-08-27
74114,213,4,184,2020-08-27
73115,211,2,178,2020-08-27
73142,210,5,188,2020-08-27
73080,209,3,182,2020-08-27
74127,208,1,184,2020-08-27
74104,206,1,187,2020-08-27
74955,205,2,151,2020-08-27
73020,204,2,176,2020-08-27
74132,201,2,186,2020-08-27
73118,191,3,163,2020-08-27
74437,190,2,158,2020-08-27
73003,184,3,166,2020-08-27
74804,181,6,139,2020-08-27
74820,180,0,162,2020-08-27
74743,175,1,154,2020-08-27
73601,175,0,132,2020-08-27
74467,170,5,140,2020-08-27
74003,166,8,149,2020-08-27
74035,164,2,155,2020-08-27
73010,161,1,138,2020-08-27
73111,156,2,128,2020-08-27
73533,156,1,132,2020-08-27
74108,151,0,136,2020-08-27
74948,149,2,110,2020-08-27
74848,144,2,118,2020-08-27
73044,143,0,120,2020-08-27
74953,140,1,102,2020-08-27
73507,136,2,123,2020-08-27
73068,136,1,120,2020-08-27
74401,134,2,104,2020-08-27
73116,134,0,121,2020-08-27
74116,133,0,126,2020-08-27
73089,132,2,113,2020-08-27
73065,132,1,118,2020-08-27
74884,131,1,110,2020-08-27
74601,128,4,110,2020-08-27
74126,128,2,113,2020-08-27
74010,127,5,114,2020-08-27
73025,126,0,121,2020-08-27
74361,126,3,114,2020-08-27
74868,125,3,95,2020-08-27
74937,123,1,102,2020-08-27
73047,123,0,116,2020-08-27
73179,121,1,105,2020-08-27
74023,121,1,93,2020-08-27
73075,116,1,106,2020-08-27
74432,116,2,90,2020-08-27
73742,115,1,50,2020-08-27
74462,113,3,57,2020-08-27
73945,110,0,106,2020-08-27
74020,108,3,88,2020-08-27
74346,106,1,97,2020-08-27
74426,106,2,93,2020-08-27
73026,105,3,91,2020-08-27
73149,102,0,89,2020-08-27
74015,101,0,91,2020-08-27
74962,100,2,83,2020-08-27
73128,100,0,89,2020-08-27
74604,98,5,84,2020-08-27
74834,96,7,75,2020-08-27
73096,93,0,79,2020-08-27
74331,93,0,84,2020-08-27
73078,93,1,86,2020-08-27
73134,91,1,79,2020-08-27
73084,89,1,78,2020-08-27
73446,89,1,84,2020-08-27
73750,83,0,72,2020-08-27
74352,83,0,70,2020-08-27
73554,82,8,69,2020-08-27
74434,81,4,67,2020-08-27
74120,80,0,73,2020-08-27
74073,79,1,67,2020-08-27
74857,76,1,63,2020-08-27
73105,76,0,63,2020-08-27
74525,75,0,61,2020-08-27
74047,75,1,60,2020-08-27
73644,74,1,59,2020-08-27
74301,73,1,62,2020-08-27
74365,73,1,55,2020-08-27
74436,73,0,59,2020-08-27
74959,72,1,52,2020-08-27
73103,71,1,58,2020-08-27
