City,Cases,Deaths,Recovered,ReportDate
OKLAHOMA CITY,32587,254,27312,2020-12-04
TULSA,21691,189,19042,2020-12-04
EDMOND,7960,49,6672,2020-12-04
BROKEN ARROW,7177,63,6097,2020-12-04
NORMAN,7123,73,6023,2020-12-04
OTHER***,4265,25,3693,2020-12-04
YUKON,3911,13,3336,2020-12-04
ENID,3777,35,3233,2020-12-04
LAWTON,3530,28,2916,2020-12-04
STILLWATER,3467,10,3147,2020-12-04
MOORE,2871,21,2345,2020-12-04
CLAREMORE,2716,57,2256,2020-12-04
SHAWNEE,2376,20,1965,2020-12-04
OWASSO,2236,6,1874,2020-12-04
MUSKOGEE,2197,26,1693,2020-12-04
GUYMON,1894,13,1746,2020-12-04
TAHLEQUAH,1764,6,1459,2020-12-04
BARTLESVILLE,1758,43,1526,2020-12-04
DURANT,1746,12,1527,2020-12-04
ADA,1736,10,1471,2020-12-04
ALTUS,1669,33,1464,2020-12-04
BIXBY,1516,8,1284,2020-12-04
PONCA CITY,1496,13,1198,2020-12-04
JENKS,1422,12,1265,2020-12-04
MCALESTER,1415,19,1278,2020-12-04
SAND SPRINGS,1408,11,1162,2020-12-04
EL RENO,1400,9,1264,2020-12-04
ARDMORE,1397,11,1175,2020-12-04
SAPULPA,1355,22,1141,2020-12-04
TAFT,1314,2,1270,2020-12-04
CHICKASHA,1309,14,1096,2020-12-04
MUSTANG,1249,8,1077,2020-12-04
DUNCAN,1189,11,944,2020-12-04
MIAMI,1077,16,952,2020-12-04
CLINTON,1076,7,897,2020-12-04
BETHANY,1050,7,875,2020-12-04
CHOCTAW,1045,9,866,2020-12-04
BLANCHARD,1036,3,877,2020-12-04
GUTHRIE,1017,1,760,2020-12-04
COLLINSVILLE,935,4,793,2020-12-04
WOODWARD,917,5,744,2020-12-04
FORT SUPPLY,912,2,901,2020-12-04
STILWELL,879,11,688,2020-12-04
WEATHERFORD,876,8,723,2020-12-04
BROKEN BOW,856,27,755,2020-12-04
VINITA,825,2,713,2020-12-04
ELK CITY,818,7,693,2020-12-04
IDABEL,816,12,750,2020-12-04
COWETA,783,15,674,2020-12-04
POTEAU,782,6,668,2020-12-04
SALLISAW,773,4,689,2020-12-04
GROVE,763,29,648,2020-12-04
PURCELL,754,8,650,2020-12-04
SKIATOOK,753,8,653,2020-12-04
LEXINGTON,750,7,656,2020-12-04
GLENPOOL,747,7,658,2020-12-04
OKMULGEE,745,10,622,2020-12-04
ATOKA,719,0,642,2020-12-04
ANADARKO,719,14,574,2020-12-04
TUTTLE,687,5,583,2020-12-04
SEMINOLE,685,7,608,2020-12-04
NEWCASTLE,643,4,561,2020-12-04
PRYOR CREEK,623,11,511,2020-12-04
MCLOUD,603,1,526,2020-12-04
HOMINY,565,2,543,2020-12-04
TECUMSEH,563,1,470,2020-12-04
PAULS VALLEY,561,5,495,2020-12-04
NOBLE,544,6,439,2020-12-04
HENRYETTA,541,9,478,2020-12-04
MADILL,536,2,468,2020-12-04
BOLEY,533,7,517,2020-12-04
WAGONER,531,7,439,2020-12-04
ALVA,529,1,397,2020-12-04
PIEDMONT,526,4,456,2020-12-04
SAYRE,525,10,489,2020-12-04
CUSHING,516,4,444,2020-12-04
HUGO,482,4,420,2020-12-04
JAY,470,2,409,2020-12-04
HARRAH,464,5,384,2020-12-04
SULPHUR,455,5,365,2020-12-04
MARIETTA,450,0,391,2020-12-04
MARLOW,420,3,313,2020-12-04
CHECOTAH,414,6,362,2020-12-04
